url	title	kind	cited_by	why	access
https://www.nsca.com/globalassets/about/position-statements/nsca_position_statement_long-term_athletic_development.pdf	NSCA Position Statement on Long-Term Athletic Development (Lloyd et al. 2016)	primary	-	Governing-body youth LTAD statement, open full PDF with recommendations by maturation stage	open
https://worldrowing.com/2021/05/11/guide-for-managing-low-back-pain-in-rowers/	World Rowing: Guide for managing low back pain in rowers	primary	-	International federation guidance on rowing low back pain load and technique management	open
https://pubmed.ncbi.nlm.nih.gov/30808663/	van Dyk 2019: Nordic hamstring exercise in prevention programmes halves hamstring injury rate	primary	-	Meta-analysis of 8459 athletes, canonical Nordic hamstring dose evidence	abstract-only
https://pubmed.ncbi.nlm.nih.gov/29891614/	Haroy 2019: The Adductor Strengthening Programme prevents groin problems	primary	-	Cluster RCT of the Copenhagen adduction programme in male footballers	abstract-only
https://pubmed.ncbi.nlm.nih.gov/18658019/	Gilchrist 2008: RCT to prevent noncontact ACL injury in female collegiate soccer	primary	-	Santa Monica PEP trial, primary evidence for ACL prevention warm-ups	abstract-only
https://ostrc.no/globalassets/publications/andersson_2016_bjsm_preventing-overuse-shoulder-injuries-among-throwing-athletes.pdf	Andersson 2017: Preventing overuse shoulder injuries among throwing athletes	primary	-	OSTRC cluster RCT, 660 elite handball players, full text hosted by OSTRC	open
https://pubmed.ncbi.nlm.nih.gov/21873897/	Ronnestad 2011: In-season strength maintenance training frequency in professional soccer players	primary	-	Source of the one-session-per-week in-season strength maintenance rule	abstract-only
https://pubmed.ncbi.nlm.nih.gov/33629972/	Spiering 2021: Maintaining physical performance, the minimal dose of exercise	primary	-	Minimal-dose review, canonical landing replacing the paywalled LWW link	abstract-only
https://pubmed.ncbi.nlm.nih.gov/17762369/	Bosquet 2007: Effects of tapering on performance, a meta-analysis	primary	-	Taper volume, intensity and duration parameters for competition weeks	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC4789704/	Gabbett 2016: The training-injury prevention paradox	primary	-	Original ACWR framework, open full text with load-spike thresholds	open
https://pubmed.ncbi.nlm.nih.gov/32502973/	Impellizzeri 2020: Acute:chronic workload ratio, conceptual issues and fundamental pitfalls	primary	-	Methodological critique that invalidates naive ACWR thresholds and ratio arithmetic	abstract-only
https://pubmed.ncbi.nlm.nih.gov/11708692/	Foster 2001: A new approach to monitoring exercise training	primary	-	Defines session-RPE, weekly load, monotony and strain calculations	abstract-only
https://pubmed.ncbi.nlm.nih.gov/26838985/	Suchomel 2016: The importance of muscular strength in athletic performance	primary	-	Review linking maximal strength to sprint, jump and injury outcomes	abstract-only
https://pubmed.ncbi.nlm.nih.gov/30131332/	Lauersen 2018: Strength training as superior, dose-dependent and safe injury prevention	primary	-	Dose-response meta-analysis ranking strength training above other prevention modes	abstract-only
https://asmi.org/position-statement-for-adolescent-baseball-pitchers/	ASMI Position Statement for Adolescent Baseball Pitchers	primary	-	Governing-body throwing limits: innings caps, rest months, pitch-count guidance	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC2600961/	Soligard 2008: Comprehensive warm-up programme to prevent injuries in young female footballers	cited	https://pubmed.ncbi.nlm.nih.gov/29891614/	The FIFA 11+ cluster RCT, open full text with the programme description	open
https://pubmed.ncbi.nlm.nih.gov/28087568/	Thorborg 2017: Effect of exercise-based football injury prevention programmes on overall injury rate	cited	https://pubmed.ncbi.nlm.nih.gov/29891614/	Meta-analysis of adherence and effect for football prevention programmes	abstract-only
