verb	target	field	value
row-create	Sessions	Date	2026-08-25
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-08-25T09:00:00+00:00
row-create	Sessions	week_index	35
row-create	Sets	Set	Squat (Barbell) set 1, 185 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-08-25T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-08-25T09:00:00+00:00|UTC|Squat (Barbell)|1|0
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sets	Set	Squat (Barbell) set 2, 186 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-08-27T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	186
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-08-25T09:00:00+00:00|UTC|Squat (Barbell)|2|0
row-create	Sets	source_message_id	msg-2
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 2, 186 lb x 5. Set 3 at 186 lb.
row-create	Sessions	Status	abandoned
row-create	Sessions	Date	2026-08-27
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-08-27T09:00:00+00:00
row-create	Sessions	week_index	35
row-create	Sets	Set	Squat (Barbell) set 1, 190 lb x 5
row-create	Sets	Session	sessions-2
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-08-27T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	190
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-08-27T09:00:00+00:00|UTC|Squat (Barbell)|1|0
row-create	Sets	source_message_id	msg-4
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 190 lb x 5. Set 2 at 190 lb.
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-08-27T09:00:00+00:00
say	session-runner	msg-1	"Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-2	"Squat (Barbell) set 2, 186 lb x 5. Set 3 at 186 lb.\n2026-08-25's session is still open. Keep logging to finish it, or say \"advance\" to start today fresh."
say	session-runner	msg-3	"2026-08-25's session marked abandoned. Starting today fresh.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-4	"Squat (Barbell) set 1, 190 lb x 5. Set 2 at 190 lb."
say	session-runner	msg-5	"Session closed. Nice work today."
