url	title	kind	cited_by	why	access
https://www.acefitness.org/fitness-certifications/certified-code-of-ethics/	ACE Code of Ethics for ACE Certified Professionals	primary	-	Nine binding promises: safety, boundaries, confidentiality, referral. Full text on page.	open
https://www.acefitness.org/academy/AcademyElitePDFs/ACE_PT5th_Manual_Ch1.pdf	ACE Personal Trainer Manual 5th ed, Chapter 1: Role and Scope of Practice	primary	-	Canonical scope-of-practice chapter; 72 scope mentions, defines the trainer boundary.	open
https://www.nasm.org/content/dam/nasm/docs/nasmlibraries/pdf/nasm-code-of-professional-conduct.pdf	NASM Code of Professional Conduct	primary	-	Prevention-only scope, no diagnosis, mandatory health-history screening before training.	open
https://www.nsca.com/contentassets/d6cef8a265ed494e96290607d577d1fe/nsca-codes-policies-and-procedures.pdf.pdf	NSCA Codes, Policies and Procedures (Professional Code of Ethics, 2024 revision)	primary	-	Full NSCA Code of Ethics text; supersedes all earlier NSCA ethics documents.	open
https://www.nsca.com/globalassets/education/nsca_strength_and_conditioning_professional_standards_and_guidelines.pdf	NSCA Strength and Conditioning Professional Standards and Guidelines	primary	-	Duty-of-care standards: screening, supervision, records, emergency planning, facility rules.	open
https://acsm.org/wp-content/uploads/2025/05/ACSM-Code-of-Ethics.pdf	ACSM Code of Ethics	primary	-	ACSM member and certificant conduct rules; the medical-adjacent ethics baseline.	open
https://cimspa.co.uk/?jet_download=5b612d0f802c7e03f150a5eed82b744cf9ba0996	CIMSPA Professional Standard: Personal Trainer (full standard) v1.1	primary	-	UK occupational standard; competences, professional code of conduct, hands-on-contact rules.	open
https://www.ideafit.com/personal-training/idea-code-of-ethics-for-personal-trainers/	IDEA Code of Ethics for Personal Trainers	primary	-	Trade-body ethics list; weakest authority here but explicitly in scope.	open
https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024R1689	Regulation (EU) 2024/1689 (AI Act) consolidated text, Article 50	primary	-	Binding AI transparency duty: users must be told they interact with AI.	js-only
https://acsm.org/ceo-update-q3-2025/	ACSM CEO Update Q3 2025 (AI in exercise science position)	primary	-	Nearest thing to an ACSM organizational statement on AI coaching.	open
https://discovery.ucl.ac.uk/id/eprint/1400691/1/Michie_et%20al.%20(in%20press)%20-%20BCT%20Taxonomy%20v1%20development%20paper.pdf	Michie et al. 2013, Behavior Change Technique Taxonomy v1 (93 techniques)	primary	-	Author-accepted full text of BCTTv1; the standard vocabulary for coaching techniques.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC3441783/	Teixeira et al. 2012, Exercise, physical activity, and self-determination theory	primary	-	Systematic review linking autonomy support to exercise adherence; SDT applied to exercise.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC3505409/	Gardner, Lally & Wardle 2012, Making health habitual (BJGP)	primary	-	Habit-formation review; the practitioner-facing synthesis of repetition and cue consistency.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC5370453/	Samdal et al. 2017, Effective BCTs for physical activity and healthy eating	primary	-	Meta-regression of which BCTs actually move adherence in overweight adults.	open
https://gwulf.faculty.unlv.edu/wp-content/uploads/2018/11/Wulf_AF_review_2013.pdf	Wulf 2013, Attentional focus and motor learning: a review of 15 years	primary	-	Evidence base for external-focus cueing; author-hosted full text of the review.	open
https://doi.org/10.1207/S15327965PLI1104_01	Deci & Ryan 2000, The what and why of goal pursuits (Psychological Inquiry)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC3441783/	Core SDT statement of autonomy, competence, relatedness that Teixeira applies.	paywalled
https://pubmed.ncbi.nlm.nih.gov/11392867/	Ryan & Deci 2000, Self-determination theory and facilitation of intrinsic motivation	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC3441783/	The canonical SDT overview paper underpinning the exercise review.	abstract-only
https://doi.org/10.1521/jscp.2005.24.6.811	Markland, Ryan, Tobin & Rollnick 2005, Motivational interviewing and self-determination theory	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC3441783/	Bridges MI practice to SDT mechanism; heavily cited by Teixeira.	paywalled
https://motivationalinterviewing.org/understanding-motivational-interviewing	MINT, Understanding Motivational Interviewing (Miller & Rollnick definition)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC5370453/	Miller and Rollnick's own body's definition of MI spirit and processes.	open
https://doi.org/10.1002/ejsp.674	Lally et al. 2010, How are habits formed: modelling habit formation in the real world	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC3505409/	Source of the 66-day median habit-formation figure Gardner reports.	abstract-only
https://pubmed.ncbi.nlm.nih.gov/17907866/	Wood & Neal 2007, A new look at habits and the habit-goal interface	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC3505409/	Habit-as-cue-response theory Gardner builds the practitioner advice on.	abstract-only
https://pubmed.ncbi.nlm.nih.gov/11148297/	Bandura 2001, Social cognitive theory: an agentic perspective	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC3505409/	The Bandura reference Gardner actually cites for agency and self-efficacy.	abstract-only
