url	title	kind	cited_by	why	access
https://raw.githubusercontent.com/astashov/liftosaur/master/docs/content/liftoscript.md	Liftoscript syntax reference (Liftosaur docs source)	primary	-	Canonical Liftoscript grammar: sets x reps, progress rules, custom scripts	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/day.py	wger Day model source	primary	-	Authoritative day fields: need_logs_to_advance, is_rest, order, type	open
https://wger.readthedocs.io/en/latest/api/routines.html	wger Routine API documentation	primary	-	Routine/Day/Slot/SlotEntry hierarchy, iterations, date-sequence endpoints	open
https://help.hevyapp.com/hc/en-us/articles/35385404949143-Rest-Timer-Default-Rest-Timer-How-to-Add-Adjust-Volume-and-Sound	Hevy Help Centre: Rest Timer and Default Rest Timer	primary	-	First-party Hevy rest-timer trigger and default inheritance; fills prior gap	open
https://help.hevyapp.com/hc/en-us/articles/33882110558743-Workout-Settings-Preferences-Timer-Warm-up-calculator-Plate-Calculator-Smart-Superset-Scrolling	Hevy Help Centre: Workout Settings Preferences	primary	-	Superset scrolling, warm-up and plate calculators during live logging	open
https://help.strongapp.io/article/231-rest-timer	Strong Help Center: About Rest Timer	primary	-	Strong default 2:00 timer, auto-start on set completion, skip	open
https://help.strongapp.io/article/229-my-first-workout	Strong Help Center: How do I perform a workout with Strong	primary	-	First-party as-you-go set entry and previous-value prefill flow	open
https://fitbod.zendesk.com/hc/en-us/articles/360006340194-Rest-Timer	Fitbod Help: Rest Timer	primary	-	Fitbod rest-timer defaults and auto-start behaviour	open
https://www.fitnotesapp.com/routines/	FitNotes documentation: Routines	primary	-	Predefined sets auto-added per routine, supersets; fills FitNotes gap	open
https://www.fitnotesapp.com/settings/	FitNotes documentation: Settings	primary	-	Auto-Select Next Set, Mark Sets Complete, default weight increment	open
https://testifysc.com/articles/lifting-notation-reps-are-always-second-20251230	Testify Strength and Conditioning: lifting notation, reps are always second	primary	-	Coaching authority on sets x reps versus weight x reps x sets	open
https://cancercontrol.cancer.gov/sites/default/files/2020-06/goal_intent_attain.pdf	Gollwitzer and Sheeran, Implementation Intentions (NCI construct chapter)	primary	-	If-then plan theory behind cue-bound routine prompts	open
https://www.bi.team/publications/east-four-simple-ways-to-apply-behavioural-insights/	EAST: Four simple ways to apply behavioural insights	primary	-	BIT framework Easy Attractive Social Timely; guides logging friction cuts	open
https://arxiv.org/abs/2603.22609	Chasing Shadows: personal data externalization and self-tracking for neurodivergent individuals	primary	-	ADHD and autistic self-tracking failure modes, emotional cost of data	open
https://discovery.ucl.ac.uk/id/eprint/1477627/	Don't Kick the Habit: the role of dependency in habit formation apps (CHI EA 2016)	primary	-	Habit apps breeding dependency rather than automaticity; open PDF attached	open
https://doi.org/10.1002/ejsp.674	Lally et al 2010, How are habits formed: modelling habit formation in the real world	cited	https://discovery.ucl.ac.uk/id/eprint/1477627/	Automaticity asymptote in 18-254 days; kills the 21-day myth	paywalled
https://doi.org/10.1080/13548506.2011.555774	Lally, Wardle, Gardner 2011, Experiences of habit formation: a qualitative study	cited	https://discovery.ucl.ac.uk/id/eprint/1477627/	Lived account of missed days and recovery during habit formation	paywalled
https://dl.acm.org/doi/10.1145/2702123.2702230	Stawarz, Cox, Blandford 2015, Beyond Self-Tracking and Reminders (CHI)	cited	https://discovery.ucl.ac.uk/id/eprint/1477627/	Reminders versus cue-based design; core habit-app HCI reference	abstract-only
https://dl.acm.org/doi/10.1145/2556288.2557079	Stawarz, Cox, Blandford 2014, Don't forget your pill! (CHI)	cited	https://discovery.ucl.ac.uk/id/eprint/1477627/	Reminder apps fitting daily routines rather than clock times	abstract-only
https://doi.org/10.1007/s12160-009-9118-3	Rothman, Sheeran, Wood 2009, Reflective and automatic processes in dietary change	cited	https://discovery.ucl.ac.uk/id/eprint/1477627/	Initiation versus maintenance split; different UX needs per phase	abstract-only
https://doi.org/10.1016/j.jcps.2009.08.003	Wood and Neal 2009, The habitual consumer	cited	https://discovery.ucl.ac.uk/id/eprint/1477627/	Context-cue model of habit; grounds fixed-slot routine prompts	abstract-only
https://doi.org/10.1016/S0065-2601(06)38002-1	Gollwitzer and Sheeran 2006, Implementation intentions and goal achievement meta-analysis	cited	https://cancercontrol.cancer.gov/sites/default/files/2020-06/goal_intent_attain.pdf	Effect-size backbone for if-then planning claims	abstract-only
https://doi.org/10.1037/0022-3514.81.5.946	Brandstatter, Lengfelder, Gollwitzer 2001, Implementation intentions and efficient action initiation	cited	https://cancercontrol.cancer.gov/sites/default/files/2020-06/goal_intent_attain.pdf	Evidence that if-then plans work under high cognitive load	abstract-only
