verb	target	field	value
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Squat (Barbell) set 1, 185 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|1|0
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sessions	Status	halted
config-write	config/limits	entries	[{"area": "knee", "status": "open", "opened_at": "2026-09-01"}]
config-write	config/limits	progression	manual
config-read	config/preferences	*	0
config-read	config/limits	*	2
config-read	config/athlete	*	0
config-read	program/current	*	0
config-read	agent/progression-state	*	0
row-query	Sets	*	1
row-query	Sessions	*	1
row-query	Sessions	Status=open	0
config-write	config/limits	clearance	cleared
config-write	config/limits	parq_date	2026-09-01
config-read	config/preferences	*	0
config-read	config/limits	*	4
config-read	config/athlete	*	0
config-read	program/current	*	0
config-read	agent/progression-state	*	0
row-query	Sets	*	1
row-query	Sessions	*	1
row-query	Sessions	Status=open	0
config-write	config/limits	parq_date	2026-09-21
config-read	config/preferences	*	0
config-read	config/limits	*	4
config-read	config/athlete	*	0
config-read	program/current	*	0
config-read	agent/progression-state	*	0
row-query	Sets	*	1
row-query	Sessions	*	1
row-query	Sessions	Status=open	0
config-write	config/limits	clearance	pending
config-write	config/limits	parq_date	2026-09-22
config-write	config/limits	clearance	referred
config-read	config/preferences	*	0
config-read	config/limits	*	4
config-read	config/athlete	*	0
config-read	program/current	*	0
config-read	agent/progression-state	*	0
row-query	Sets	*	1
row-query	Sessions	*	1
row-query	Sessions	Status=open	0
config-write	config/limits	clearance	cleared
config-write	config/limits	parq_date	2026-09-23
say	session-runner	msg-1	"Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.\nReadiness 1-5? (skip if you like)"
say	pain-triage	msg-2	"Stopping here. That's a stop-level signal (knee). See a physician or physiotherapist before that movement again. I can still help with everything else on the plan."
say	screen	msg-3	"Has your doctor ever said that you have a heart condition OR high blood pressure?"
say	screen	msg-4	"Do you feel pain in your chest at rest, during your daily activities of living, OR when you do physical activity?"
say	screen	msg-5	"Do you lose balance because of dizziness OR have you lost consciousness in the last 12 months? Please answer NO if your dizziness was associated with over-breathing (including during vigorous exercise)."
say	screen	msg-6	"Have you ever been diagnosed with another chronic medical condition (other than heart disease or high blood pressure)?"
say	screen	msg-7	"Are you currently taking prescribed medications for a chronic medical condition?"
say	screen	msg-8	"Do you currently have (or have had within the past 12 months) a bone, joint, or soft tissue (muscle, ligament, or tendon) problem that could be made worse by becoming more physically active? Please answer NO if you had a problem in the past, but it does not limit your current ability to be physically active."
say	screen	msg-9	"Has your doctor ever said that you should only do medically supervised physical activity?"
say	screen	msg-10	"All clear on PAR-Q+. Cleared for physical activity. Progression stays manual: rule S5 also needs 14 days of training logged with no symptom reported, and you have logged 0 since your last one."
say	screen	msg-11	"Has your doctor ever said that you have a heart condition OR high blood pressure?"
say	screen	msg-12	"Do you feel pain in your chest at rest, during your daily activities of living, OR when you do physical activity?"
say	screen	msg-13	"Do you lose balance because of dizziness OR have you lost consciousness in the last 12 months? Please answer NO if your dizziness was associated with over-breathing (including during vigorous exercise)."
say	screen	msg-14	"Have you ever been diagnosed with another chronic medical condition (other than heart disease or high blood pressure)?"
say	screen	msg-15	"Are you currently taking prescribed medications for a chronic medical condition?"
say	screen	msg-16	"Do you currently have (or have had within the past 12 months) a bone, joint, or soft tissue (muscle, ligament, or tendon) problem that could be made worse by becoming more physically active? Please answer NO if you had a problem in the past, but it does not limit your current ability to be physically active."
say	screen	msg-17	"Has your doctor ever said that you should only do medically supervised physical activity?"
say	screen	msg-18	"All clear on PAR-Q+. Cleared for physical activity. Progression stays manual: rule S5 also needs 14 days of training logged with no symptom reported, and you have logged 0 since your last one."
say	screen	msg-19	"Has your doctor ever said that you have a heart condition OR high blood pressure?"
say	screen	msg-20	"Do you feel pain in your chest at rest, during your daily activities of living, OR when you do physical activity?"
say	screen	msg-21	"Do you lose balance because of dizziness OR have you lost consciousness in the last 12 months? Please answer NO if your dizziness was associated with over-breathing (including during vigorous exercise)."
say	screen	msg-22	"Have you ever been diagnosed with another chronic medical condition (other than heart disease or high blood pressure)?"
say	screen	msg-23	"Are you currently taking prescribed medications for a chronic medical condition?"
say	screen	msg-24	"Do you currently have (or have had within the past 12 months) a bone, joint, or soft tissue (muscle, ligament, or tendon) problem that could be made worse by becoming more physically active? Please answer NO if you had a problem in the past, but it does not limit your current ability to be physically active."
say	screen	msg-25	"Has your doctor ever said that you should only do medically supervised physical activity?"
say	screen	msg-26	"Has a clinician already cleared you for exercise? Answer yes or no first, then name the condition and the date you were cleared."
say	screen	msg-27	"I need a plain yes or no: has a clinician already cleared you for exercise? Clearance stays pending until you answer, so no session can open."
say	screen	msg-28	"I need a plain yes or no: has a clinician already cleared you for exercise? Clearance stays pending until you answer, so no session can open."
say	screen	msg-29	"Noted. That needs a clinician's clearance before I program anything; light walking only until then."
say	screen	msg-30	"Has your doctor ever said that you have a heart condition OR high blood pressure?"
say	screen	msg-31	"Do you feel pain in your chest at rest, during your daily activities of living, OR when you do physical activity?"
say	screen	msg-32	"Do you lose balance because of dizziness OR have you lost consciousness in the last 12 months? Please answer NO if your dizziness was associated with over-breathing (including during vigorous exercise)."
say	screen	msg-33	"Have you ever been diagnosed with another chronic medical condition (other than heart disease or high blood pressure)?"
say	screen	msg-34	"Are you currently taking prescribed medications for a chronic medical condition?"
say	screen	msg-35	"Do you currently have (or have had within the past 12 months) a bone, joint, or soft tissue (muscle, ligament, or tendon) problem that could be made worse by becoming more physically active? Please answer NO if you had a problem in the past, but it does not limit your current ability to be physically active."
say	screen	msg-36	"Has your doctor ever said that you should only do medically supervised physical activity?"
say	screen	msg-37	"Has a clinician already cleared you for exercise? Answer yes or no first, then name the condition and the date you were cleared."
say	screen	msg-38	"Noted, and clearance recorded. Cleared for physical activity. Progression stays manual: rule S5 also needs 14 days of training logged with no symptom reported, and you have logged 0 since your last one."
