url	title	kind	cited_by	why	access
https://doi.org/10.1249/MSS.0000000000003897	ACSM Position Stand: Resistance Training Prescription for Muscle Function, Hypertrophy, and Physical Performance in Healthy Adults (MSSE 2026)	primary	-	Current ACSM position stand; DOI landing serves full text and reference list	open
https://pubmed.ncbi.nlm.nih.gov/41843416/	ACSM Position Stand: Resistance Training Prescription in Healthy Adults: An Overview of Reviews (PubMed)	primary	-	Canonical PubMed record for the 2026 position stand	abstract-only
https://pubmed.ncbi.nlm.nih.gov/27433992/	Dose-response relationship between weekly resistance training volume and increases in muscle mass (Schoenfeld 2017)	primary	-	Volume dose-response meta-analysis underpinning weekly set targets	abstract-only
https://pubmed.ncbi.nlm.nih.gov/27102172/	Effects of Resistance Training Frequency on Measures of Muscle Hypertrophy (Schoenfeld 2016)	primary	-	Frequency meta-analysis behind the train-each-muscle-twice-weekly rule	abstract-only
https://pubmed.ncbi.nlm.nih.gov/28834797/	Strength and Hypertrophy Adaptations Between Low- vs. High-Load Resistance Training (Schoenfeld 2017)	primary	-	Load meta-analysis separating strength from hypertrophy loading rules	abstract-only
https://pubmed.ncbi.nlm.nih.gov/26049792/	Novel Resistance Training-Specific Rating of Perceived Exertion Scale Measuring Repetitions in Reserve (Zourdos 2016)	primary	-	Origin of the RIR-based 1-10 RPE scale used for autoregulation	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC4961270/	Application of the Repetitions in Reserve-Based Rating of Perceived Exertion Scale for Resistance Training (Helms 2016)	primary	-	Free full text applying RIR-RPE to load selection and progression	open
https://pubmed.ncbi.nlm.nih.gov/23347054/	Effect of training cessation on muscular performance: a meta-analysis (Bosquet 2013)	primary	-	Detraining meta-analysis quantifying strength loss over layoff duration	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC10511399/	Integrating Deloading into Strength and Physique Sports Training Programmes: An International Delphi Consensus (Bell 2023)	primary	-	Expert consensus on deload cadence, volume cut, and intensity cut	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC10948666/	Deloading Practices in Strength and Physique Sports: A Cross-sectional Survey (Bell 2024)	primary	-	Survey data on real deload triggers and magnitudes in practice	open
