url	title	kind	cited_by	why	access
https://pmc.ncbi.nlm.nih.gov/articles/PMC7318722/	Wolner-Strohmeyer 2021. Can reminders improve adherence to regular physical activity in people over 60	primary	-	Gap 1. Reminder isolated as the variable. Muscle-strengthening sessions median 2 vs 2, no difference.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC10521167/	Baker 2020 BOOST-TLC. Efficacy of computer-based telephone counselling on long-term adherence to strength training in knee OA	primary	-	Gap 1. Longest follow-up found, 24 months, strength training. Adherence 4.01 vs 3.63, p=0.57, null.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8296387/	Foccardi 2021. Text messaging as an incentive to maintain physical activity after cardiac rehabilitation	primary	-	Gap 1. Positive daily-text pilot, n=32, 3 months. Only isolated-reminder win found.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC11640009/	Barun 2024. Mobile app intervention increases adherence to home exercise program after whiplash injury, RCT	primary	-	Gap 1. Multi-component app with daily push. Adherence median 3 vs 2, p=0.005, 6 months.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC12978541/	Srp 2026 SpiroGym. Enhancing adherence to home-based expiratory muscle strength training in Parkinson disease, RCT	primary	-	Gap 1. 24 weeks. At-risk subgroup Cohen d=0.74; no significant 3-way interaction in full sample.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC12529976/	Gavanda 2025. Optimizing resistance training outcomes, in-person vs online vs self-guided RCT	primary	-	Gap 1. Resistance training adherence 88.2 / 81.2 / 52.2 percent. Supervision contrast, not a reminder contrast.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC12587685/	Tarantino 2025. Effectiveness of booster strategies to promote physical activity maintenance	meta-analysis	-	Gap 1. 40 studies. Boosters add about 6 percent MVPA over intervention alone; no SMD or CI in abstract.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC9527092/	Lang 2022. Do digital interventions increase adherence to home exercise rehabilitation	systematic-review	-	Gap 1. 10 RCTs, n=1117. 7 of 10 favoured digital; the 3 equivalent trials were the longer ones.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8842523/	Cinthuja 2022. Effective interventions to improve long-term physiotherapy exercise adherence in lower-limb OA	systematic-review	-	Gap 1. No significant between-method differences in adherence beyond 12 months.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8365685/	Carraca 2021. Effective behavior change techniques to promote physical activity in adults with overweight or obesity	meta-analysis	-	Gap 1. 62 RCTs. "Prompts/cues" was NOT a significant moderator; goal setting and graded tasks were.	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8381579/	Ibeneme 2021. Effectiveness of mobile text reminder in improving adherence to medication, physical exercise and QoL in PLWHA	systematic-review	-	Gap 1. States outright there were no RCTs on physical exercise in its SMS-reminder field.	open
