verb	target	field	value
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	exercises-1
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	590df2ecff4e15ca
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	exercises-1
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	ecbc92e5d28605f5
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 2, 185 lb x 5. Set 3 at 185 lb.
row-create	Sessions	Status	halted
config-write	config/limits	entries	[{"area": "knee", "status": "open", "opened_at": "2026-09-01"}]
config-write	config/limits	progression	manual
say	session-runner	msg-1	"Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.\nReadiness 1-5? (skip if you like)"
say	pain-triage	msg-2	"Noted, keeping an eye on it. Say if it gets worse."
say	session-runner	msg-3	"Squat (Barbell) set 2, 185 lb x 5. Set 3 at 185 lb."
say	pain-triage	msg-4	"Stopping here. That's a stop-level signal (knee). See a physician or physiotherapist before that movement again. I can still help with everything else on the plan."
say	session-runner	msg-5	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	trainer-core	msg-6	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	pain-triage	msg-7	"Good to hear, but I can't clear that on your word alone: it needs 14 symptom-free days or a clinician's clearance."
