verb	target	field	value
config-write	program/current	name	Otago Exercise Programme
config-write	program/current	origin	University of Otago falls-prevention research group (Campbell & Robertson)
config-write	program/current	progression_unit	level
config-write	program/current	dose	sets
config-write	program/current	days	3
config-write	program/current	template_id	otago
config-write	program/current	started_at	2026-09-01T09:00:00+00:00
config-write	program/current	body	{"format_version":1,"name":"Otago Exercise Programme","origin":"University of Otago falls-prevention research group (Campbell & Robertson)","source":{"url":"https://www.livestronger.org.nz/assets/Uploads/acc1162-otago-exercise-manual.pdf","note":"Structure only: which muscle groups and balance tasks, level count, and how difficulty steps up, written in our own words and re-derived as data from the free official manual. No manual text reproduced; a training structure is not copyrightable expression (17 U.S.C. 102(b))."},"progression_unit":"level","dose":"sets","days":3,"notes":"3 strength/balance sessions a week plus a separate daily brisk walk, per the source. Strength exercises use ankle-cuff weight as the level axis at fixed reps; balance exercises use support (two hands to no support) and hold time or reps as the level axis. Advance-when count of 6 sessions per level is our own conversion of the source's roughly-2-weeks-per-level pace at 3 sessions/week; the manual paces by week, not session count.","rotation":[{"id":"S","label":"Strength and balance session","blocks":[{"label":"knee extension (quads)","exercise":"Leg Extensions","stages":[{"level":0,"sets":2,"reps":10,"note":"no added weight"},{"level":1,"sets":2,"reps":10,"note":"0.5 kg ankle cuff"},{"level":2,"sets":2,"reps":10,"note":"1 kg ankle cuff"},{"level":3,"sets":2,"reps":10,"note":"1.5 kg ankle cuff"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"knee flexion (hamstrings)","exercise":"Standing Leg Curl","stages":[{"level":0,"sets":2,"reps":10,"note":"no added weight"},{"level":1,"sets":2,"reps":10,"note":"0.5 kg ankle cuff"},{"level":2,"sets":2,"reps":10,"note":"1 kg ankle cuff"},{"level":3,"sets":2,"reps":10,"note":"1.5 kg ankle cuff"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"hip abduction","exercise":"Otago Hip Abduction","stages":[{"level":0,"sets":2,"reps":10,"note":"no added weight"},{"level":1,"sets":2,"reps":10,"note":"0.5 kg ankle cuff"},{"level":2,"sets":2,"reps":10,"note":"1 kg ankle cuff"},{"level":3,"sets":2,"reps":10,"note":"1.5 kg ankle cuff"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"hip extension (glutes)","exercise":"Hip Extension with Bands","stages":[{"level":0,"sets":2,"reps":10,"note":"no added weight"},{"level":1,"sets":2,"reps":10,"note":"0.5 kg ankle cuff"},{"level":2,"sets":2,"reps":10,"note":"1 kg ankle cuff"},{"level":3,"sets":2,"reps":10,"note":"1.5 kg ankle cuff"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"ankle plantarflexion (calf raise)","exercise":"Rocking Standing Calf Raise","stages":[{"level":0,"sets":2,"reps":10,"note":"no added weight"},{"level":1,"sets":2,"reps":10,"note":"0.5 kg ankle cuff"},{"level":2,"sets":2,"reps":10,"note":"1 kg ankle cuff"},{"level":3,"sets":2,"reps":10,"note":"1.5 kg ankle cuff"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"ankle dorsiflexion (toe raise)","exercise":"Otago Toe Raise","stages":[{"level":0,"sets":2,"reps":10,"note":"no added weight"},{"level":1,"sets":2,"reps":10,"note":"0.5 kg ankle cuff"},{"level":2,"sets":2,"reps":10,"note":"1 kg ankle cuff"},{"level":3,"sets":2,"reps":10,"note":"1.5 kg ankle cuff"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"sit-to-stand","exercise":"Chair Squat","stages":[{"level":0,"sets":1,"reps":5,"note":"two hands on chair"},{"level":1,"sets":1,"reps":8,"note":"one hand on chair"},{"level":2,"sets":1,"reps":10,"note":"no hands, fingertip touch only"},{"level":3,"sets":1,"reps":12,"note":"no support, eyes closed"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"tandem stance","exercise":"Otago Tandem Stance","stages":[{"level":0,"duration_s":10,"note":"two hands on chair"},{"level":1,"duration_s":15,"note":"one hand on chair"},{"level":2,"duration_s":20,"note":"no hands, fingertip touch only"},{"level":3,"duration_s":30,"note":"no support, eyes closed"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"heel-toe walk","exercise":"Otago Heel Toe Walk","stages":[{"level":0,"sets":1,"reps":10,"note":"two hands on chair"},{"level":1,"sets":1,"reps":15,"note":"one hand on chair"},{"level":2,"sets":1,"reps":20,"note":"no hands, fingertip touch only"},{"level":3,"sets":1,"reps":20,"note":"no support, turning head side to side"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"one-leg stand","exercise":"Otago One Leg Stand","stages":[{"level":0,"duration_s":10,"note":"two hands on chair"},{"level":1,"duration_s":15,"note":"one hand on chair"},{"level":2,"duration_s":20,"note":"no hands, fingertip touch only"},{"level":3,"duration_s":30,"note":"no support, eyes closed"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}},{"label":"backwards walking","exercise":"Otago Backwards Walking","stages":[{"level":0,"sets":1,"reps":10,"note":"two hands on chair"},{"level":1,"sets":1,"reps":15,"note":"one hand on chair"},{"level":2,"sets":1,"reps":20,"note":"no hands, fingertip touch only"},{"level":3,"sets":1,"reps":20,"note":"no support, turning head side to side"}],"progression":{"axis":"level","increment":1,"increment_unit":"levels","advance_when":{"kind":"sessions_at_stage","count":6},"on_miss":"hold"}}]},{"id":"W","label":"Daily walk","blocks":[{"label":"brisk walk","exercise":"Walking","duration_s":1800,"note":"Recommended most days; the source paces this separately from the 3x/week strength and balance session."}]}]}
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
