url	title	kind	cited_by	why	access	stored_sha256
https://pmc.ncbi.nlm.nih.gov/articles/PMC3963533/	Dijkstra et al 2014, Managing the health of the elite athlete: a new integrated performance health management and coaching model, BJSM 48(7):523-531	primary	-	The only published model naming who leads health, who leads coaching, who they both report to, and which decisions each may not take. Source of the coach-cannot-overrule-medical rule.	open (Europe PMC full text XML)	95287e1f68b1112f8a8a9ad46f85fe7d1e3369115738b00b9f719aae9f0af1a6
https://ncaaorg.s3.amazonaws.com/ssi/ahca/2014SSI_IndependentMedicalCare.pdf	Interassociation Consensus: Independent Medical Care for College Student-Athletes Best Practices, NCAA Sport Science Institute	primary	-	Ten guiding principles plus the unchallengeable autonomous authority wording. The only setting where the reporting line is legislated.	open	2f487dd7f44f59c7a59aa7e8e1feac607be5b58c6164c019a5902095333fa14c
https://appliedsportpsych.org/site/assets/files/30025/cmpccandidatehandbook-12_21.pdf	AASP Certified Mental Performance Consultant candidate handbook, Dec 2021	primary	-	States in the certifying body own words that CMPC is not sport psychologist and that psychological services are governed by licensing boards. The psych boundary.	open	ccbf7536905a5e17882831827808b40d16d8c9ad315a12658e9509189da5b2f4
https://appliedsportpsych.org/site/assets/files/1016/cmpc-onepage.pdf	AASP, What is a Certified Mental Performance Consultant?	primary	-	The public-facing scope list: what a CMPC is trained to help with. No clinical claim anywhere on it.	open	5bc97ffe00121c535406ed6c23ea1f9b811b27bb973a67b080c4e30de73a9a4b
https://pubmed.ncbi.nlm.nih.gov/31097450/	Reardon et al 2019, Mental health in elite athletes: IOC consensus statement, BJSM 53(11):667-699	primary	-	IOC position that mental health is inseparable from physical health and raises injury risk. Abstract only; the body is paywalled.	abstract only	0d0887e036863f63dcba25de2da9bde75c9001fe1a3be721f5872e8dcdf371a8
https://pubmed.ncbi.nlm.nih.gov/26891166/	Thomas, Erdman, Burke 2016, Nutrition and Athletic Performance, joint position of the Academy of Nutrition and Dietetics, Dietitians of Canada and ACSM, MSSE 48(3):543-568	primary	-	Names the referral target (registered dietitian/nutritionist) and the CSSD credential. The nutrition boundary.	abstract only	7e25530499c3e6bcc9d5703813952fea7e798f4f05ce4c20ccb3cf2a35aa9d48
https://pubmed.ncbi.nlm.nih.gov/37285068/	Drew et al 2023, Health Systems in High-Performance Sport: Key Functions to Protect Health and Optimize Performance in Elite Athletes, Sports Med 53(8):1479-1489	primary	-	Frames the support team as a health system with stewardship and a fifth sport-specific function. Abstract only.	abstract only	998c76117418eb63e8517ccf66fdd25df36e3632fc310e6186b4cbfee7aa4d3d
https://www.usada.org/spirit-of-sport/athlete-support-responsibilities/	USADA, How can athlete support help with anti-doping responsibilities?	secondary	-	Carries the WADA Code definition of Athlete Support Personnel. Evidence that ASP is a rule-book category, not a discipline.	open	7b2584488e6a383ae6847b0be1ebb94099d9052c1724825b1b1386e239d8c569
https://journals.humankinetics.com/view/journals/tsp/18/2/article-p204.xml	Reid, Stewart, Thorne 2004, Multidisciplinary sport science teams in elite sport: comprehensive servicing or conflict and confusion?, The Sport Psychologist 18(2):204-217	primary	-	The founding paper on role conflict in athlete support teams. Publisher returned 403; cited by title and claim only.	paywalled, not stored	-
https://www.tandfonline.com/doi/abs/10.1080/17461391.2023.2201812	Burns and Collins 2023, Interdisciplinary practice in performance sport: a scoping review of evidence of collaboration, Eur J Sport Sci 23(9):1877-1891	primary	-	The state of the evidence: 22 included articles, four themes, terminology used interchangeably.	paywalled, not stored	-
https://www.tandfonline.com/doi/full/10.1080/1750984X.2024.2411215	Performance support team effectiveness in elite sport: a narrative review, 2024	primary	-	Sought for failure modes. Publisher returned 403 on two attempts; not used for any claim.	blocked, not stored	-
