url	title	kind	cited_by	why	access
https://eparmedx.com/wp-content/uploads/2025/01/PARQPlus2025Fillable.pdf	PAR-Q+ 2025 Physical Activity Readiness Questionnaire for Everyone (fillable PDF)	primary	-	Current official instrument, all 7 questions plus follow-up pages, verbatim wording	open
https://hfjc.library.ubc.ca/index.php/HFJC/article/view/863	The PAR-Q+ and ePARmed-X+: As easy as 1, 2, 3	primary	-	Instrument authors' own description of PAR-Q+ scoring and referral logic	open
https://journals.lww.com/acsm-msse/fulltext/2015/11000/updating_acsm_s_recommendations_for_exercise.29.aspx	Updating ACSM's Recommendations for Exercise Preparticipation Health Screening (Riebe 2015)	primary	-	The 2015 algorithm paper itself; publisher landing shows abstract	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC7059860/	Applying the ACSM Preparticipation Screening Algorithm to U.S. Adults: NHANES 2001-2004	primary	-	Open full text restating the algorithm inputs and referral rates	open
https://pubmed.ncbi.nlm.nih.gov/28360142/	Do Functional Movement Screen composite scores predict subsequent injury? Review with meta-analysis	primary	-	Definitive meta-analysis against FMS composite score as injury predictor	js-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC6797344/	Is a low Functional Movement Screen score (<=14/21) associated with injuries in sport?	primary	-	Second independent FMS review, open full text, concurring critique	open
https://support.nasm.org/how-do-i-perform-an-overhead-squat-assessment	How do I perform an Overhead Squat Assessment? (NASM)	primary	-	NASM's own OHSA protocol and compensation-to-muscle solutions table	open
https://pubmed.ncbi.nlm.nih.gov/11676731/	Intra-rater and inter-rater reliability of a weight-bearing lunge measure of ankle dorsiflexion	primary	-	Original knee-to-wall reliability study underpinning the ankle test	js-only
https://pubmed.ncbi.nlm.nih.gov/26913865/	Development of 1RM Prediction Equations for Bench Press in Moderately Trained Men	primary	-	Validation of submaximal 1RM prediction against measured 1RM	js-only
https://csep.ca/	Canadian Society for Exercise Physiology (CSEP)	primary	-	Publisher of CSEP-PATH push-up and plank norms and Get Active Questionnaire	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC4096102/	Norms for an isometric muscle endurance test	primary	-	Open normative data for trunk isometric endurance holds like the plank	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/	International norms for adult handgrip strength: 2.4 million adults, 69 countries	primary	-	Largest open grip norm set, sex and age specific	open
https://pubmed.ncbi.nlm.nih.gov/5694044/	A means of assessing maximal oxygen intake: correlation between field and treadmill testing (Cooper 1968)	primary	-	Origin of the 12-minute run test and its VO2max equation	js-only
https://pubmed.ncbi.nlm.nih.gov/3600239/	Estimation of VO2max from a one-mile track walk, gender, age, and body weight (Kline 1987)	primary	-	Original Rockport walk equation and its validation sample	js-only
https://pubmed.ncbi.nlm.nih.gov/15354048/	Consistency of the talk test for exercise prescription (Persinger 2004)	primary	-	Validates talk test against ventilatory threshold on treadmill and cycle	js-only
https://eparmedx.com/	ePARmed-X+ and PAR-Q+ Collaboration home	cited	https://eparmedx.com/wp-content/uploads/2025/01/PARQPlus2025Fillable.pdf	Canonical home for the instrument, licence terms and online follow-up tool	open
https://csep.ca/wp-content/uploads/2021/05/GETACTIVEQUESTIONNAIRE_ENG.pdf	CSEP Get Active Questionnaire (English)	cited	https://csep.ca/	CSEP's own screening form, the Canadian counterpart to PAR-Q+	open
https://www.acsm.org/education-resources/trending-topics-resources/resource-library	ACSM Resource Library	cited	https://journals.lww.com/acsm-msse/fulltext/2015/11000/updating_acsm_s_recommendations_for_exercise.29.aspx	Official ACSM landing for screening and testing resources; algorithm figure lives behind it	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC4833755/	Reference ranges of handgrip strength from 125,462 healthy adults in 21 countries (Leong 2016)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/	PURE cohort grip reference ranges, open full text	open
https://pubmed.ncbi.nlm.nih.gov/25982160/	Prognostic value of grip strength: findings from the PURE study (Leong 2015, Lancet)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/	The grip-mortality association paper the brief named; no open landing	js-only
https://www.functionalmovement.com/files/Articles/572a_FMS_Article_NoBleed_Digital.pdf	FMS: the use of fundamental movements as an assessment of function (Cook et al.)	cited	https://pubmed.ncbi.nlm.nih.gov/28360142/	Developers' description of the seven tests and 0-3 scoring	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8684795/	Validity and reliability of telehealth physical assessment: systematic review	cited	-	Bounds what a remote video assessment can and cannot conclude	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC5673663/	Session rating of perceived exertion: validity and reliability across sports	cited	-	Validation of session RPE as the core daily load input	open
https://www.ncbi.nlm.nih.gov/books/NBK556005/	Transtheoretical Model of Behavioral Change (StatPearls)	cited	-	Source for the readiness-to-change stage field in the intake script	open
https://exrx.net/WorkoutTools/StrengthStandards	ExRx Strength Standards	cited	https://pubmed.ncbi.nlm.nih.gov/26913865/	Observed, non-regression strength bands for classifying an estimated 1RM	open
https://www.topendsports.com/testing/tests/cooper.htm	Cooper 12-minute run test protocol and norms	cited	https://pubmed.ncbi.nlm.nih.gov/5694044/	Secondary but reachable source for the age and sex norm tables	open
https://www.topendsports.com/testing/tests/step-ymca.htm	YMCA 3-minute step test protocol and recovery HR classifications	cited	-	Only reachable YMCA step test source; primary manual is paywalled	open
https://www.barbellmedicine.com/blog/novice-intermediate-advanced-strength-training/	Novice, intermediate and advanced strength training classification	cited	-	Training-age tiers by adaptation rate; Starting Strength original blocks fetchers	open
https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2025.1578478/full	Impact of heart rate variability-based exercise prescription in sedentary adults	cited	-	Open HRV-guided training study for readiness baselining in non-athletes	open
https://www.iarc.who.int/news-events/who-guidelines-on-waist-circumference-and-physical-activity-and-their-joint-association-with-cancer-risk/	WHO guidelines on waist circumference	cited	-	Official waist circumference risk thresholds used in the body panel	open
