verb	target	field	value
config-write	config/athlete	storage_platform	notion
config-write	config/athlete	intake_cursor	1
config-write	config/athlete	storage_root	24b1f9c8-e4b7-801d-9f3a-c2d5e6f70a19
config-write	config/athlete	intake_cursor	2
database-create	Sets	Parent	24b1f9c8-e4b7-801d-9f3a-c2d5e6f70a19
database-create	Sets	Schema	CREATE TABLE ("Set" TITLE, "Session" RICH_TEXT, "Exercise" RICH_TEXT, "Set index" NUMBER, "Set type" SELECT('warmup', 'working', 'backoff', 'dropset'), "is_amrap" CHECKBOX, "to_failure" CHECKBOX, "RPE" NUMBER, "RIR" NUMBER, "Timestamp" DATE, "machine_setting" RICH_TEXT, "Side" SELECT('both', 'left', 'right'), "reps_left" NUMBER, "reps_right" NUMBER, "Notes" RICH_TEXT, "Load" NUMBER, "Unit" SELECT('lb', 'kg'), "load_kind" SELECT('absolute', 'added', 'assist'), "Reps" NUMBER, "duration_s" NUMBER, "distance" NUMBER, "distance_unit" SELECT('m', 'km', 'mi'), "level" NUMBER, "interval_s" NUMBER, "attempt" NUMBER, "write_key" RICH_TEXT, "source_message_id" RICH_TEXT, "Pain flag" SELECT('none', 'niggle', 'stop'), "confirm_line" RICH_TEXT, "stale" CHECKBOX, "e1RM" FORMULA('if(prop("Set type") == "working" and prop("Reps") >= 1 and prop("Reps") <= 10, prop("Load") * 36 / (37 - prop("Reps")), empty())'))
config-write	config/athlete	notion_data_sources	{"Sets": "ds-Sets"}
database-create	Sessions	Parent	24b1f9c8-e4b7-801d-9f3a-c2d5e6f70a19
database-create	Sessions	Schema	CREATE TABLE ("Title" TITLE, "Date" DATE, "Timezone" RICH_TEXT, "Status" SELECT('open', 'closed', 'abandoned', 'halted'), "Start time" DATE, "End time" DATE, "Program" RICH_TEXT, "Day" RICH_TEXT, "Cursor" RICH_TEXT, "week_index" NUMBER, "Readiness" NUMBER, "Session RPE" NUMBER, "Bodyweight" NUMBER, "Bodyweight unit" SELECT('lb', 'kg'), "Notes" RICH_TEXT)
config-write	config/athlete	timezone	America/Los_Angeles
config-write	config/athlete	intake_cursor	3
config-write	config/athlete	notion_data_sources	{"Sessions": "ds-Sessions", "Sets": "ds-Sets"}
config-write	config/athlete	intake_cursor	4
config-write	config/athlete	intake_cursor	5
config-write	config/athlete	intake_cursor	6
config-write	config/athlete	intake_cursor	7
config-write	config/athlete	intake_cursor	8
config-write	config/athlete	intake_cursor	9
config-write	config/athlete	intake_cursor	10
config-write	config/limits	clearance	cleared
config-write	config/limits	parq_date	2026-09-01
config-write	config/athlete	intake_cursor	11
config-write	config/preferences	units	kg
config-write	config/athlete	intake_cursor	12
config-read	config/preferences	*	1
config-read	config/limits	*	2
config-read	config/athlete	*	5
config-read	program/current	*	0
config-read	agent/progression-state	*	0
row-query	Sets	*	0
row-query	Sessions	*	0
row-query	Sessions	Status=open	0
say	intake	msg-1	"Where do you want your training log kept? Notion and Obsidian are what I can write to today. Name anything else and I'll tell you straight away rather than half build it."
say	intake	msg-2	"First, where should I put your logs? Make a blank Notion page, share it with this connection, then paste the page link here."
say	intake	msg-3	"What timezone are you in? I need it as an IANA name, like America/Los_Angeles or Europe/London, so a late session lands on the right day."
say	intake	msg-4	"I don't know that zone. It's Area/City, capitals and all, like America/New_York or Australia/Sydney."
say	intake	msg-5	"Has your doctor ever said that you have a heart condition OR high blood pressure?"
say	intake	msg-6	"I need a yes or a no. Has your doctor ever said that you have a heart condition OR high blood pressure?"
say	intake	msg-7	"Do you feel pain in your chest at rest, during your daily activities of living, OR when you do physical activity?"
say	intake	msg-8	"Do you lose balance because of dizziness OR have you lost consciousness in the last 12 months? Please answer NO if your dizziness was associated with over-breathing (including during vigorous exercise)."
say	intake	msg-9	"Have you ever been diagnosed with another chronic medical condition (other than heart disease or high blood pressure)?"
say	intake	msg-10	"Are you currently taking prescribed medications for a chronic medical condition?"
say	intake	msg-11	"Do you currently have (or have had within the past 12 months) a bone, joint, or soft tissue (muscle, ligament, or tendon) problem that could be made worse by becoming more physically active? Please answer NO if you had a problem in the past, but it does not limit your current ability to be physically active."
say	intake	msg-12	"Has your doctor ever said that you should only do medically supervised physical activity?"
say	intake	msg-13	"Has a clinician already cleared you for exercise? Answer yes or no first, then name the condition and the date you were cleared."
say	intake	msg-14	"I need a plain yes or no: has a clinician already cleared you for exercise? Clearance stays pending until you answer, so no session can open."
say	intake	msg-15	"I need a plain yes or no: has a clinician already cleared you for exercise? Clearance stays pending until you answer, so no session can open."
say	intake	msg-16	"Pounds or kilos?"
say	intake	msg-17	"Pounds or kilos? One or the other, please."
say	intake	msg-18	"What country or state are you in? Scope-of-practice rules vary."
say	trainer-core	msg-19	"Precondition failed: no program/current exists."
