url	title	kind	cited_by	why	access
https://code.claude.com/docs/en/skills	Extend Claude with skills (Claude Code docs)	primary	-	Bundled scripts "executed, not loaded"; ${CLAUDE_SKILL_DIR} and ${CLAUDE_PROJECT_DIR}; allowed-tools one-turn grant and the prompt-free bundled-script pattern; 1,536-char listing cap; the six portable frontmatter fields; skill text persists across turns under 5,000/25,000 token compaction budgets	open
https://code.claude.com/docs/en/plugins-reference	Plugins reference (Claude Code docs)	primary	-	${CLAUDE_PLUGIN_ROOT} is ephemeral, do not write state there; ${CLAUDE_PLUGIN_DATA} at ~/.claude/plugins/data/{id}/ survives sessions and updates and dies on uninstall; plugins bundle MCP servers; bin/ barred from claude.ai org distribution	open
https://code.claude.com/docs/en/sandboxing	Configure the sandboxed Bash tool (Claude Code docs)	primary	-	Sandboxed writes limited to the working directory and the session temp dir; auto-allow versus regular permission flow	open
https://code.claude.com/docs/en/settings-reference	Settings reference (Claude Code docs)	primary	-	sandbox.enabled default false, so terminal Bash is unsandboxed unless the user opts in	open, NOT captured: over the 5 MB ingest cap
https://code.claude.com/docs/en/mcp	Connect Claude Code to external tools with MCP (Claude Code docs)	primary	-	MCP is the external-store transport; the user completes OAuth through /mcp; secrets go to the keychain, not the config; .mcp.json is checked into version control	open
https://code.claude.com/docs/en/scheduled-tasks	Run prompts on a schedule (Claude Code docs)	primary	-	/loop and the Cron tools are session-scoped, need an open idle session, expire after 7 days; a scheduled fire only runs model-invocable skills; comparison table for cloud, desktop, and /loop	open
https://code.claude.com/docs/en/routines	Automate work with routines (Claude Code docs)	primary	-	Cloud routines run unattended with no approval prompts, run shell commands and skills from the cloned repo, have no local file access, 1-hour minimum interval, Pro and up, research preview; CLI-added MCP servers do not appear as connectors	open
https://code.claude.com/docs/en/hooks	Hooks reference (Claude Code docs)	primary	-	Hooks fire on lifecycle events including FileChanged outside a user turn; plugins ship them in hooks/hooks.json, skills cannot	open
https://agentskills.io/specification	Agent Skills Specification	primary	-	name 64, description 1024, compatibility 500 character limits; any files may ship beside SKILL.md; scripts/ references/ assets/ conventions; language support is implementation-dependent; under 5,000 tokens and 500 lines recommended	open
https://agentskills.io/	Agent Skills Overview	primary	-	The format is Anthropic's, released as an open standard, with ChatGPT and Codex listed as clients	open
https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview	Agent Skills (Claude platform docs)	primary	-	Skills run in a code execution environment with filesystem, bash, and code execution; Claude reads bundled files with bash and runs bundled scripts; name 64 and description 1024; claude.ai listed as Pro and up; network access varies; no org-wide distribution and no sync to the API	open
https://platform.claude.com/docs/en/agents-and-tools/tool-use/code-execution-tool	Code execution tool (Claude platform docs)	primary	-	API container numbers (30-day expiry, 5-minute checkpoint, container reuse by id) that claude.ai chat does not expose; API skills get no network	open
https://support.claude.com/en/articles/12512180-use-skills-in-claude	Use skills in Claude (Claude help centre)	primary	-	ZIP upload path; skills listed for Free and up; code execution is a prerequisite; Enterprise org gate	open
https://support.claude.com/en/articles/12512176-what-are-skills	What are skills? (Claude help centre)	primary	-	A skill is a folder of instructions, scripts, and resources loaded dynamically	open
https://support.claude.com/en/articles/12512198-creating-custom-skills	Creating custom skills (Claude help centre)	primary	-	ZIP folder shape; name 64 and description 200 characters on the claude.ai create form; executable code files attach to skill.md	open
https://support.claude.com/en/articles/12111783-create-and-edit-files-with-claude	Create and edit files with Claude (Claude help centre)	primary	-	Code execution toggle under Settings > Capabilities, on by default for Team and Enterprise; per-user sandbox isolation; container time is capped but the number is unpublished; 30 MB per file; the default network allowlist	open
https://support.claude.com/en/articles/11176164-use-connectors-to-extend-claude-s-capabilities	Use connectors to extend Claude's capabilities (Claude help centre)	primary	-	Connectors attach from the chat composer and inherit each person's own permissions in the connected service	open
https://support.claude.com/en/articles/14503689-mcp-connectors	MCP connectors (Claude help centre)	primary	-	Per-user delegated OAuth stated flatly; page is Claude for Government scoped, dated 2026-04-10	open
https://claude.com/connectors/notion	Notion connector (claude.com)	primary	-	Notion ships an official directory connector covering Claude web, desktop, mobile, Claude Code, and the API	open
https://support.claude.com/en/articles/13854387-schedule-recurring-tasks-in-claude-cowork	Schedule recurring tasks in Claude Cowork (Claude help centre)	primary	-	Scheduled tasks run remotely with the computer asleep, reach skills and plugins, and need a paid plan; the feature is Cowork, not claude.ai chat	open
https://learn.chatgpt.com/docs/build-skills	Build skills (ChatGPT docs)	primary	-	Standalone skills reach desktop, Codex CLI, and the IDE extension only; plugin-bundled skills reach web chat; SKILL.md plus scripts, references, assets; Codex reads .agents/skills; the 2 percent or 8,000 character discovery budget	open
https://learn.chatgpt.com/docs/skills-and-plugins	Skills and plugins (ChatGPT docs)	primary	-	Vendor definitions of skill, plugin, and connector; @ mention in ChatGPT, $ in Codex	open
https://learn.chatgpt.com/docs/plugins	Plugins (ChatGPT docs)	primary	-	Where plugins work, the install flow, and that the user authenticates each connector with the service's own controls	open
https://learn.chatgpt.com/docs/build-plugins	Build plugins (ChatGPT docs)	primary	-	Plugin package layout and how skills and MCP servers are bundled for distribution	open
https://developers.openai.com/plugins/build/plugins	Plugin builder docs (OpenAI)	primary	-	.codex-plugin/plugin.json manifest fields: skills, mcpServers, hooks relative to the plugin root	open
https://learn.chatgpt.com/docs/extend/mcp	Model Context Protocol (ChatGPT docs)	primary	-	Connectors are MCP servers; a plugin can bundle them; bearer token and OAuth are the supported auth methods	open
https://learn.chatgpt.com/docs/automations	Scheduled tasks (ChatGPT docs)	primary	-	Scheduled tasks run unattended, can use skills, take a $skill-name trigger, and support plugins from ChatGPT Work on the web	open
https://learn.chatgpt.com/docs/sandboxing	Sandbox (ChatGPT docs)	primary	-	The local sandbox belongs to the desktop app, Codex CLI, and the IDE extension; ChatGPT web exposes neither it nor the approval-mode picker	open
https://learn.chatgpt.com/docs/sandboxing?surface=web	Sandbox, web variant (ChatGPT docs)	primary	-	ChatGPT Work runs code and shell in a managed isolated environment that refreshes after a run finishes	open, captured under the canonical URL: identical bytes, digest 1efe5031
https://learn.chatgpt.com/docs/enterprise/chatgpt-work-overview	ChatGPT Work overview (ChatGPT docs)	primary	-	Code and shell execution plus the cloud browser; public internet access follows workspace policy; the web product cannot touch the user's computer; the Library holds saved files	open
https://learn.chatgpt.com/docs/projects	Projects and chats (ChatGPT docs)	primary	-	Project files and instructions carry across related chats, and a project is not a folder on your computer	open
https://learn.chatgpt.com/docs/customization/memories	Memories (ChatGPT docs)	primary	-	Memory files live under ~/.codex/memories; the served page is the Codex variant, not the web product	open
https://learn.chatgpt.com/docs/hooks	Hooks (ChatGPT docs)	primary	-	Hooks are a Codex extensibility framework with no stated ChatGPT web support	open
https://learn.chatgpt.com/docs/whats-new	What's new (ChatGPT docs)	primary	-	Dated rollout entries for plugins and the @ menu, March 2026	open
https://developers.openai.com/codex/skills	Build skills, redirect (OpenAI)	primary	-	308 redirect to learn.chatgpt.com/docs/build-skills, which is why research/13-plugin-packaging.md section 2 has a stale URL	308 redirect, captured as its target learn.chatgpt.com/docs/build-skills
https://help.openai.com/en/articles/20001066-skills-in-chatgpt	Skills in ChatGPT (OpenAI help centre)	primary	-	Would settle which consumer plans get skills; every fetch returned HTTP 403, so the plan list stays unverified	blocked 403, NOT captured, logged in ingest-failures.tsv
https://openai.com/academy/skills/	Using skills (OpenAI Academy)	primary	-	Second attempt at the plan question; HTTP 403	blocked 403, NOT captured, logged in ingest-failures.tsv
