verb	target	field	value
config-write	program/current	name	GZCLP
config-write	program/current	origin	Cody Lefever (GZCL tier method); GZCLP structure as documented on the r/Fitness wiki
config-write	program/current	progression_unit	session
config-write	program/current	dose	sets
config-write	program/current	days	3
config-write	program/current	template_id	gzclp
config-write	program/current	started_at	2026-09-01T09:00:00+00:00
config-write	program/current	body	{"format_version":1,"name":"GZCLP","origin":"Cody Lefever (GZCL tier method); GZCLP structure as documented on the r/Fitness wiki","source":{"url":"https://thefitness.wiki/routines/gzclp/","method_url":"https://swoleateveryheight.blogspot.com/2014/07/the-gzcl-method-simplified_13.html","note":"Structure only: which lifts, how many sets and reps, when load moves. Written in our own words from the cited pages, no text reproduced. A training method is not copyrightable expression (17 U.S.C. 102(b), research/16 'The licence rule')."},"progression_unit":"session","dose":"sets","days":3,"notes":"Four workouts rotate in order regardless of weekday; the source runs them 3 to 4 times a week, so spacing is the user's. No rest nodes: the rotation is not pinned to a weekly grid. T1 starts at 85% of a tested 5RM; T2 and T3 starting loads are set at intake, the source gives no single number worth asserting.","rotation":[{"id":"A1","label":"A1 (squat T1, bench T2)","blocks":[{"label":"T1","exercise":"Barbell_Squat","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Barbell_Bench_Press_-_Medium_Grip","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Wide-Grip_Lat_Pulldown","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]},{"id":"B1","label":"B1 (overhead press T1, deadlift T2)","blocks":[{"label":"T1","exercise":"Standing_Military_Press","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Barbell_Deadlift","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Bent_Over_Two-Dumbbell_Row","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]},{"id":"A2","label":"A2 (bench T1, squat T2)","blocks":[{"label":"T1","exercise":"Barbell_Bench_Press_-_Medium_Grip","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Barbell_Squat","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Wide-Grip_Lat_Pulldown","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]},{"id":"B2","label":"B2 (deadlift T1, overhead press T2)","blocks":[{"label":"T1","exercise":"Barbell_Deadlift","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Standing_Military_Press","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Bent_Over_Two-Dumbbell_Row","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]}]}
row-create	Exercises	Name	Barbell Squat
row-create	Exercises	measure	weight_reps
row-create	Exercises	training_max	185.0
row-create	Exercises	next_target	140 lb
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T18:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Barbell Squat set 1, 225 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Barbell_Squat
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T18:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	225
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	1d883ce7024cbe30
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Barbell Squat set 2, 225 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Barbell_Squat
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T18:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	225
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	ec3fa29fea03e9d4
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Barbell Squat set 3, 225 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Barbell_Squat
row-create	Sets	Set index	3
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T18:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	225
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	829a91ba7e8d1679
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Barbell Squat set 1-3, 225 lb x 5. Set 4 at 225 lb.
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-01T18:00:00+00:00
config-read	config/preferences	*	0
config-read	config/limits	*	0
config-read	config/athlete	*	0
config-read	program/current	*	8
row-query	Exercises	*	1
row-query	Sessions	*	1
row-query	Sessions	Status=open	0
row-query	Sessions	Status=closed	1
row-create	Sessions	Date	2026-09-03
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-03T18:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Standing Military Press set 1, 95 lb x 5
row-create	Sets	Session	sessions-2
row-create	Sets	Exercise	Standing_Military_Press
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-03T18:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	95
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	d22bca227b725d7a
row-create	Sets	source_message_id	msg-6
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Standing Military Press set 2, 95 lb x 5
row-create	Sets	Session	sessions-2
row-create	Sets	Exercise	Standing_Military_Press
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-03T18:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	95
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	70d5d22e8e5b6ada
row-create	Sets	source_message_id	msg-6
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Standing Military Press set 3, 95 lb x 5
row-create	Sets	Session	sessions-2
row-create	Sets	Exercise	Standing_Military_Press
row-create	Sets	Set index	3
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-03T18:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	95
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	fe10867a10af6853
row-create	Sets	source_message_id	msg-6
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Standing Military Press set 1-3, 95 lb x 5. Set 4 at 95 lb.
config-read	config/preferences	*	0
config-read	config/limits	*	0
config-read	config/athlete	*	0
config-read	program/current	*	8
row-query	Exercises	*	1
row-query	Sessions	*	2
row-query	Sessions	Status=open	1
row-query	Sets	Session=sessions-2	3
row-query	Sessions	Status=closed	1
row-create	Sets	Set	Standing Military Press set 4, 95 lb x 5
row-create	Sets	Session	sessions-2
