verb	target	field	value
config-write	program/current	name	GZCLP
config-write	program/current	origin	Cody Lefever (GZCL tier method); GZCLP structure as documented on the r/Fitness wiki
config-write	program/current	progression_unit	session
config-write	program/current	dose	sets
config-write	program/current	days	3
config-write	program/current	template_id	gzclp
config-write	program/current	started_at	2026-09-01T09:00:00+00:00
config-write	program/current	body	{"format_version":1,"name":"GZCLP","origin":"Cody Lefever (GZCL tier method); GZCLP structure as documented on the r/Fitness wiki","source":{"url":"https://thefitness.wiki/routines/gzclp/","method_url":"https://swoleateveryheight.blogspot.com/2014/07/the-gzcl-method-simplified_13.html","note":"Structure only: which lifts, how many sets and reps, when load moves. Written in our own words from the cited pages, no text reproduced. A training method is not copyrightable expression (17 U.S.C. 102(b), research/16 'The licence rule')."},"progression_unit":"session","dose":"sets","days":3,"notes":"Four workouts rotate in order regardless of weekday; the source runs them 3 to 4 times a week, so spacing is the user's. No rest nodes: the rotation is not pinned to a weekly grid. T1 starts at 85% of a tested 5RM; T2 and T3 starting loads are set at intake, the source gives no single number worth asserting.","rotation":[{"id":"A1","label":"A1 (squat T1, bench T2)","blocks":[{"label":"T1","exercise":"Barbell Squat","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Barbell Bench Press - Medium Grip","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Wide-Grip Lat Pulldown","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]},{"id":"B1","label":"B1 (overhead press T1, deadlift T2)","blocks":[{"label":"T1","exercise":"Standing Military Press","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Barbell Deadlift","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Bent Over Two-Dumbbell Row","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]},{"id":"A2","label":"A2 (bench T1, squat T2)","blocks":[{"label":"T1","exercise":"Barbell Bench Press - Medium Grip","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Barbell Squat","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Wide-Grip Lat Pulldown","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]},{"id":"B2","label":"B2 (deadlift T1, overhead press T2)","blocks":[{"label":"T1","exercise":"Barbell Deadlift","amrap_last":true,"start":{"kind":"retest_pct","test":"5rm","pct":0.85},"stages":[{"sets":5,"reps":3,"amrap_last":true},{"sets":6,"reps":2,"amrap_last":true},{"sets":10,"reps":1,"amrap_last":true}],"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"retest_pct","test":"5rm","pct":0.85,"stage":0}}},{"label":"T2","exercise":"Standing Military Press","stages":[{"sets":3,"reps":10},{"sets":3,"reps":8},{"sets":3,"reps":6}],"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"next_stage","reset":{"kind":"load_delta","value":15,"unit":"lb","stage":0}}},{"label":"T3","exercise":"Bent Over Two-Dumbbell Row","sets":3,"reps":15,"amrap_last":true,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":25},"on_miss":"hold"}}]}]}
config-write	agent/progression-state	progression	{"Barbell Deadlift": {"next_target": "170 lb", "training_max": 225.0}, "Barbell Squat": {"next_target": "140 lb", "training_max": 185.0}}
say	program-design	msg-1	"Picked GZCLP: GZCLP is the standing default for a 3-4 day barbell strength goal past the absolute-novice stage: double progression with a proven T1/T2/T3 shape. T1 Barbell Squat starts at 140 lb (from 185x5, e1RM 187 lb after form allowance). T1 Barbell Deadlift starts at 170 lb (from 225x5, e1RM 228 lb after form allowance)."
