url	title	kind	cited_by	why	access
https://www.who.int/publications/i/item/9789240015128	WHO guidelines on physical activity and sedentary behaviour (2020)	primary	-	Canonical global dose guidance including chronic conditions, disability, pregnancy, older adults	open
https://doi.org/10.1249/MSS.0000000000000664	Updating ACSM's Recommendations for Exercise Preparticipation Health Screening (Riebe 2015)	primary	-	Source of the four-input clearance algorithm the whole slice depends on	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC11209834/	Resistance Exercise Training in Individuals With and Without Cardiovascular Disease: 2023 Update (AHA Scientific Statement)	primary	-	Current AHA position on resistance training with cardiac disease; open full text	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC6908414/	Physical Activity/Exercise and Diabetes: A Position Statement of the American Diabetes Association (2016)	primary	-	Open full text replacing the failed ADA PDF; carbohydrate and glucose guidance	open
https://journals.lww.com/greenjournal/fulltext/10.1097/aog.0000000000003772~physical-activity-and-exercise-during-pregnancy-and-the	Physical Activity and Exercise During Pregnancy and the Postpartum Period: ACOG Committee Opinion 804	primary	-	Readable full text with Box 2 contraindications; acog.org returns 402	open
https://www.nice.org.uk/guidance/ng206/chapter/recommendations	NICE NG206: Myalgic encephalomyelitis/chronic fatigue syndrome - Recommendations	primary	-	Withdraws graded exercise therapy; governs post-exertional malaise handling	open
https://ro.ecu.edu.au/ecuworkspost2013/2797/	ESSA position statement on exercise prescription for the prevention and management of osteoporosis (Beck 2017)	primary	-	Loading and spine-flexion rules for bone; open repository copy of JSAMS paper	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8576825/	Exercise Guidelines for Cancer Survivors: Consensus Statement from International Multidisciplinary Roundtable (ACSM 2019)	primary	-	Outcome-specific exercise prescriptions for cancer survivors; open full text	open
https://www.nsca.com/globalassets/about/position-statements/position_stand_youth_resistance_training---2009.pdf	NSCA Position Statement: Youth Resistance Training - Updated Position Statement (2009)	primary	-	Authoritative refutation of the growth-plate myth; supervision as key variable	open
https://www.bonehealthandosteoporosis.org/patients/treatment/exercisesafe-movement/	Bone Health & Osteoporosis Foundation: Exercise/Safe Movement	primary	-	Patient-facing safe-movement guidance from the US bone health authority	open
https://europepmc.org/article/MED/29997112	2018 EULAR recommendations for physical activity in people with inflammatory arthritis and osteoarthritis	primary	-	Fills the EULAR gap; ard.eular.org and BMJ block automated fetch	js-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC4523327/	2015 Heart Rhythm Society Expert Consensus Statement on Postural Tachycardia Syndrome, Inappropriate Sinus Tachycardia and Vasovagal Syncope	primary	-	Fills the POTS gap; replaces the two secondary Levine-protocol blog sources	open
