verb	target	field	value
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Squat (Barbell) set 1, 185 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	exercises-1
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	590df2ecff4e15ca
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sets	Set	Squat (Barbell) set 2, 190 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	exercises-1
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	190
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	ecbc92e5d28605f5
row-create	Sets	source_message_id	msg-7
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 2, 190 lb x 5. Set 3 at 190 lb.
say	session-runner	msg-1	"Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-2	"-15 lb is outside the plausible load range (0 to 1000 lb). Nothing written. Retype the set."
say	session-runner	msg-3	"185 is outside the plausible reps range (1 to 100). Nothing written. Retype the set."
say	session-runner	msg-4	"2000 lb is outside the plausible load range (0 to 1000 lb). Nothing written. Retype the set."
say	session-runner	msg-5	"20000 is outside the plausible hold time range (1 to 14400). Nothing written. Retype the set."
say	session-runner	msg-6	"150 km is outside the plausible distance range (above 0, up to 100 km). Nothing written. Retype the set."
say	session-runner	msg-7	"Squat (Barbell) set 2, 190 lb x 5. Set 3 at 190 lb."
