verb	target	field	value
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Squat (Barbell) set 1, 185 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2a7b6b000ddc1e5b
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sets	Set	Squat (Barbell) set 2, 185 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	dda859b3f54e8b0e
row-create	Sets	source_message_id	msg-2
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 2, 185 lb x 5. Set 3 at 185 lb.
row-create	Sets	Set	L-Sit set 1, 20s
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	L-Sit
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	duration_s	20
row-create	Sets	attempt	0
row-create	Sets	write_key	a119b24a243f0297
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	L-Sit set 1, 20s. Set 2, same target.
say	session-runner	msg-1	"Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-2	"Squat (Barbell) set 2, 185 lb x 5. Set 3 at 185 lb."
say	session-runner	msg-3	"L-Sit set 1, 20s. Set 2, same target."
