url	title	kind	cited_by	why	access
https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/base.py	wger Exercise model (exercises/models/base.py)	primary	-	Canonical exercise catalog: uuid, category, muscles, muscles_secondary, equipment, variation_group	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/log.py	wger WorkoutLog model (manager/models/log.py)	primary	-	Set-row schema: weight+weight_unit, repetitions, rir, targets, iteration, rest	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/slot_entry.py	wger SlotEntry + ExerciseType (manager/models/slot_entry.py)	primary	-	Prescription slot and nine-value set-type enum: normal, warmup, dropset, myo, iso_hold	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/session.py	wger WorkoutSession model (manager/models/session.py)	primary	-	Session as local DateField plus separate time_start/time_end TimeFields, not one timestamp	open
https://raw.githubusercontent.com/astashov/liftosaur/master/src/types.ts	Liftosaur core TypeScript types (src/types.ts)	primary	-	ISet, IWeight, IProgram, IMuscle, IHistoryRecord: full client-side workout log type model	open
https://raw.githubusercontent.com/astashov/liftosaur/master/src/models/weight.ts	Liftosaur weight and one-rep-max model (src/models/weight.ts)	primary	-	Weight_getOneRepMax uses RPE multiplier table, not Epley; also unit-safe weight arithmetic	open
https://raw.githubusercontent.com/astashov/liftosaur/master/src/models/muscle.ts	Liftosaur muscle taxonomy and volume points (src/models/muscle.ts)	primary	-	Screen-muscle to muscle mapping and per-muscle set points for weekly volume	open
https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/schema.json	free-exercise-db JSON Schema	primary	-	Public-domain exercise schema: 17-value muscle enum, force, level, mechanic, equipment, category	open
https://raw.githubusercontent.com/chrisdoc/hevy-mcp/main/openapi-spec.json	Hevy API OpenAPI 3.0.0 spec (mirror of official Swagger)	primary	-	Hevy set fields, set-type enum and 20-value muscle group enum; official docs are JS-only	open
https://www.getfitnotes.com/docs/migrate-from-other-apps.html	FitNotes import/export CSV format	primary	-	Official CSV column list, date format, distance units, and weight/reps/distance/time Kind flags	open
https://help.strongapp.io/article/235-export-workout-data	Strong: export workout data	primary	-	Official Strong CSV export procedure; columns not documented, see paired sample row	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC11435939/	Developing Accurate Repetition Prediction Equations for Trained Older Adults with Osteopenia	primary	-	Prints Brzycki denominator correctly as 1.0278 minus 0.0278 reps; seven-equation comparison table	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC9465738/	Macarilla et al. 2022, Accuracy of Predicting 1RM from Submaximal Velocity	primary	-	Counter-example: prints Brzycki with wrong plus sign; do not copy its formula	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8884877/	Baz-Valle et al. 2022, Systematic Review of Resistance Training Volumes on Hypertrophy	primary	-	Volume counted as weekly hard sets per muscle group; low/moderate/high brackets at 12 and 20	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC4961270/	Helms et al. 2016, Application of the RIR-Based RPE Scale for Resistance Training	primary	-	Defines RPE to reps-in-reserve mapping underlying the rir field and RPE conversion	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/muscle.py	wger Muscle model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/base.py	Muscle taxonomy target of Exercise.muscles: Latin name plus plain-English name_en	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/equipment.py	wger Equipment model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/base.py	Equipment vocabulary referenced by Exercise.equipment M2M	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/category.py	wger ExerciseCategory model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/base.py	Single-category grouping referenced by Exercise.category FK	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/exercise_alias.py	wger ExerciseAlias model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/exercises/models/base.py	Separate alias table backing the stable-uuid plus renameable-name pattern	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/core/models/rep_unit.py	wger RepetitionUnit model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/log.py	Target of WorkoutLog.repetitions_unit FK: reps, seconds, minutes and similar	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/core/models/weight_unit.py	wger WeightUnit model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/log.py	Target of WorkoutLog.weight_unit FK: why weight is stored as value plus unit	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/routine.py	wger Routine model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/log.py	Program container referenced by WorkoutLog.routine FK	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/slot.py	wger Slot model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/slot_entry.py	Parent of SlotEntry: how supersets and ordered slots are grouped inside a day	open
https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/day.py	wger Day model	cited	https://raw.githubusercontent.com/wger-project/wger/master/wger/manager/models/session.py	Target of WorkoutSession.day FK linking a logged session to its planned day	open
https://raw.githubusercontent.com/astashov/liftosaur/master/src/models/exercise.ts	Liftosaur exercise model and synergist multipliers (src/models/exercise.ts)	cited	https://raw.githubusercontent.com/astashov/liftosaur/master/src/models/muscle.ts	Source of targetMuscles, synergistMuscles and synergistMultiplier: real fractional secondary-volume weighting	open
https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/dist/exercises.json	free-exercise-db combined exercise dataset	cited	https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/schema.json	The ~800-exercise instance data the schema describes; usable directly as catalog seed	open
https://github.com/wrkout/exercises.json	wrkout/exercises.json upstream dataset	cited	https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/schema.json	Upstream dataset free-exercise-db was restructured from, per its README provenance note	open
https://api.hevyapp.com/docs/	Hevy API official documentation (Swagger UI)	cited	https://raw.githubusercontent.com/chrisdoc/hevy-mcp/main/openapi-spec.json	Official rendering of the same spec; Swagger UI shell needs JavaScript to show content	js-only
https://raw.githubusercontent.com/AlexandrosKyriakakis/StrongAppAnalytics/main/Data/strong.csv	Strong app CSV export sample	cited	https://help.strongapp.io/article/235-export-workout-data	Real instance of the export the help article describes; shows actual column names	open
https://doi.org/10.1080/07303084.1993.10606684	Brzycki 1993, Strength Testing: Predicting a One-Rep Max from Reps-to-Fatigue	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC11435939/	Original JOPERD formula paper, JPERD 64(1):88-90; publisher blocks anonymous fetch	paywalled
https://pubmed.ncbi.nlm.nih.gov/7500624/	Mayhew et al. 1995, Muscular endurance repetitions to predict bench press strength	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC11435939/	Original Mayhew percent-1RM equation source cited in the seven-equation table	abstract-only
https://journals.lww.com/nsca-jscr/abstract/1997/11000/the_accuracy_of_prediction_equations_for.1.aspx	LeSuer et al. 1997, Accuracy of Prediction Equations for Estimating 1-RM	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC11435939/	Classic seven-equation accuracy comparison across bench, squat, deadlift; abstract only	abstract-only
