url	title	kind	cited_by	why	access
https://code.claude.com/docs/en/plugins	Create plugins (Claude Code docs)	primary	-	Plugin vs standalone .claude/ tradeoff, quickstart, plugin root directory table, --plugin-dir testing, migration steps	open
https://code.claude.com/docs/en/plugins-reference	Plugins reference (Claude Code docs)	primary	-	Full plugin.json schema, required directory structure, path-behaviour rules, CLAUDE_PLUGIN_ROOT, install scopes	open
https://code.claude.com/docs/en/skills	Extend Claude with skills (Claude Code docs)	primary	-	Skill locations table (enterprise/personal/project/plugin), precedence, symlink support, Agent Skills standard reference, Cowork/cloud sync behaviour	open
https://code.claude.com/docs/en/plugin-marketplaces	Create and distribute a plugin marketplace (Claude Code docs)	primary	-	marketplace.json schema, source types, /plugin marketplace add and /plugin install syntax, team auto-install via settings.json	open
https://code.claude.com/docs/en/remote-control	Continue local sessions from any device with Remote Control (Claude Code docs)	primary	-	Remote Control definition, plan requirement, what stays local (filesystem, MCP, project config), reconnect and offline behaviour, local-only commands	open
https://agentskills.io/specification	Agent Skills Specification	primary	-	The cross-harness SKILL.md spec: frontmatter fields and limits, directory conventions, progressive disclosure, skills-ref validator	open
https://agentskills.io/	Agent Skills Overview	primary	-	Origin (Anthropic, released as open standard) and the client list showing Claude Code, GitHub Copilot and Codex all implement it	open
https://learn.chatgpt.com/docs/build-skills	Build skills (OpenAI Codex docs)	primary	-	Codex skill discovery order (.agents/skills at repo, user, admin, system), SKILL.md requirements, agents/openai.yaml, ~/.codex/config.toml skills.config	open
https://docs.github.com/en/copilot/concepts/agents/about-agent-skills	About agent skills (GitHub Copilot docs)	primary	-	Which Copilot surfaces load skills, project and personal skill directories including .claude/skills and .agents/skills, open-standard statement	open
https://docs.github.com/en/copilot/how-tos/copilot-cli/customize-copilot/add-skills	Adding agent skills for GitHub Copilot CLI	primary	-	Exact skill directories, SKILL.md required and optional frontmatter, install and reload procedure	open
https://docs.github.com/en/copilot/how-tos/copilot-cli/customize-copilot/create-custom-agents-for-cli	Creating and using custom agents for GitHub Copilot CLI	primary	-	.github/agents/*.agent.md and ~/.copilot/agents/ locations, home-over-repo precedence	open
https://docs.github.com/en/copilot/how-tos/configure-custom-instructions/add-repository-instructions	Adding repository custom instructions for GitHub Copilot	primary	-	.github/copilot-instructions.md, .github/instructions/*.instructions.md, AGENTS.md and CLAUDE.md recognition, per-surface support	open
https://support.claude.com/en/articles/12512180-use-skills-in-claude	Use skills in Claude (Anthropic Help Center)	primary	-	The terminal-free path: Customize > Skills, ZIP upload, plans covered, code-execution prerequisite	open
https://agents.md/	AGENTS.md	primary	-	AGENTS.md location and precedence rules, and the list of agents that read it	open
