url	title	kind	cited_by	why	access
https://www.who.int/publications/i/item/9789240015128	WHO guidelines on physical activity and sedentary behaviour (2020)	primary	-	Canonical global dose floor for aerobic, strength and sedentary time	open
https://odphp.health.gov/our-work/nutrition-physical-activity/physical-activity-guidelines/current-guidelines	Physical Activity Guidelines for Americans, 2nd edition (current guidelines)	primary	-	Canonical US dose targets; links full 2nd edition PDF	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC9582631/	The Physical Activity Guidelines for Americans (JAMA 2018)	primary	-	Official journal statement of the 2018 US guidelines, full text	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC12965823/	ACSM Position Stand: Resistance Training Prescription for Muscle Function, Hypertrophy, and Physical Performance in Healthy Adults (2026)	primary	-	Newest ACSM RT stand; overview of 137 reviews, full text free	open
https://pubmed.ncbi.nlm.nih.gov/21694556/	ACSM Position Stand: Quantity and Quality of Exercise (2011)	primary	-	Still-cited baseline prescription across cardio, RT, flexibility, neuromotor	abstract-only
https://pubmed.ncbi.nlm.nih.gov/41343037/	The Resistance Training Dose Response: Meta-Regressions on Weekly Volume and Frequency (Sports Med 2026)	primary	-	Newest volume and frequency dose-response meta-regression; supersedes older volume work	abstract-only
https://pubmed.ncbi.nlm.nih.gov/27433992/	Dose-response relationship between weekly resistance training volume and muscle mass (2017)	primary	-	Schoenfeld original weekly-set dose-response meta-analysis	abstract-only
https://pubmed.ncbi.nlm.nih.gov/29470825/	Effect of Resistance Training Frequency on Gains in Muscular Strength (2018)	primary	-	Grgic frequency meta-analysis; volume-equated frequency conclusion	abstract-only
https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth	Training Volume Landmarks for Muscle Growth (Renaissance Periodization)	primary	-	Primary published definition of MV, MEV, MAV, MRV coaching model	open
https://pubmed.ncbi.nlm.nih.gov/20861519/	What is best practice for training intensity and duration distribution in endurance athletes? (2010)	primary	-	Seiler statement of the polarized training distribution	abstract-only
https://pubmed.ncbi.nlm.nih.gov/23539308/	High-Intensity Interval Training, Solutions to the Programming Puzzle: Part I (2013)	primary	-	Buchheit and Laursen HIIT variable framework, cardiopulmonary emphasis	abstract-only
https://pubmed.ncbi.nlm.nih.gov/17414804/	Aerobic high-intensity intervals improve VO2max more than moderate training (2007)	primary	-	Helgerud 4x4 trial; source of the canonical 4x4 protocol	abstract-only
https://pubmed.ncbi.nlm.nih.gov/29506306/	The Relation Between Stretching Typology and Stretching Duration: Effects on Range of Motion (2018)	primary	-	Thomas stretching dose-response; weekly stretch time per muscle	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC11026323/	Effects of Chronic Static Stretching on Maximal Strength and Muscle Hypertrophy (2024)	primary	-	Warneke long-duration stretching meta-analysis, full text free	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC8891239/	Compatibility of Concurrent Aerobic and Strength Training for Skeletal Muscle Size and Function (2022)	primary	-	Schumann updated concurrent training meta-analysis, full text free	open
https://pubmed.ncbi.nlm.nih.gov/19204579/	ACSM Position Stand: Progression Models in Resistance Training for Healthy Adults (2009)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC12965823/	Prior ACSM RT stand the 2026 stand explicitly updates	abstract-only
https://pubmed.ncbi.nlm.nih.gov/28834797/	Strength and Hypertrophy Adaptations Between Low- vs High-Load Resistance Training (2017)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC12965823/	Schoenfeld load-spectrum meta-analysis behind the load recommendation	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC9935748/	Influence of Resistance Training Proximity-to-Failure on Skeletal Muscle Hypertrophy (2023)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC12965823/	Refalo evidence for RIR targets rather than training to failure	open
https://pubmed.ncbi.nlm.nih.gov/38970765/	Dose-Response Between Estimated Proximity to Failure and Hypertrophy and Strength (2024)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC12965823/	Refalo meta-regression quantifying the proximity-to-failure gradient	abstract-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC5684266/	The Effect of Weekly Set Volume on Strength Gain: A Meta-Analysis (2017)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC12965823/	Ralston volume-for-strength counterpart to the hypertrophy volume work	open
https://pubmed.ncbi.nlm.nih.gov/28641044/	Effects of short versus long inter-set rest intervals in resistance training (2017)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC12965823/	Grgic rest-interval systematic review behind rest prescriptions	abstract-only
https://pubmed.ncbi.nlm.nih.gov/22002517/	Concurrent training: a meta-analysis examining interference of aerobic and resistance exercise (2012)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC8891239/	Wilson 2012, the original interference-effect dose numbers	abstract-only
