url	title	kind	cited_by	why	access
https://acsm.org/resistance-training-guidelines-update-2026/	ACSM Unveils Landmark 2026 Resistance Training Guidelines - First Update in 17 Years	primary	-	Open ACSM summary of the 2026 resistance training position stand	open
https://pubmed.ncbi.nlm.nih.gov/41843416/	ACSM Position Stand: Resistance Training Prescription for Muscle Function, Hypertrophy, and Physical Performance in Healthy Adults	primary	-	Canonical record of the 2026 position stand; doi 10.1249/MSS.0000000000003897	js-only
https://www.nsca.com/education/articles/kinetic-select/determination-of-resistance-training-frequency/	Determination of Resistance Training Frequency	primary	-	NSCA program-design variable: setting weekly resistance training frequency	open
https://www.nsca.com/education/articles/kinetic-select/application-of-program-design-to-training-seasons/	Application of Program Design to Training Seasons	primary	-	NSCA periodisation: macrocycle, mesocycle, microcycle planning order	open
https://www.nasm.org/certified-personal-trainer/the-opt-model	NASM OPT Model | Optimum Performance Training System	primary	-	Five-phase OPT progression model, free overview page	open
https://cdn.uksca.org.uk/assets/pdfs/UkscaIqPdfs/ramp-warmups-more-than-simply-shortterm-preparation-636825390373342631.pdf	RAMP Warm-Ups: More Than Simply Short-Term Preparation (Jeffreys)	primary	-	Jeffreys RAMP warm-up protocol, author's published article, free PDF	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC10811574/	Comprehensiveness, Accuracy, and Readability of Exercise Recommendations Provided by an AI-Based Chatbot (Zaleski 2024, JMIR Med Educ)	primary	-	Core LLM exercise-prescription accuracy paper; 41% comprehensive, over-flags medical clearance	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC12254675/	The effect of chatbot-based exercise interventions on physical activity: systematic review and meta-analysis (Wang 2025, Digital Health)	primary	-	Adherence decay evidence: SMD 0.29 under eight weeks, 0.06 beyond	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC10955739/	Using artificial intelligence for exercise prescription in personalised health promotion: a critical evaluation of OpenAI's GPT-4 (Biol Sport 2024)	primary	-	Guideline-referenced critique of GPT-4 exercise prescriptions	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC12532688/	A personal health large language model for sleep and fitness coaching (Nat Med 2025)	primary	-	State of the art purpose-built LLM fitness and sleep coach	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC11559245/	Assessment of Personalized Exercise Prescriptions Issued by ChatGPT 4.0 and Intelligent Health Promotion Systems (J Multidiscip Healthc 2024)	primary	-	LLM prescriptions riskier than a clinical system for movement disorder patients	open
https://www.fda.gov/regulatory-information/search-fda-guidance-documents/general-wellness-policy-low-risk-devices	General Wellness: Policy for Low Risk Devices - Guidance	primary	-	Live FDA landing page replacing the 404s in note 06; reissued January 2026	open
https://pubmed.ncbi.nlm.nih.gov/23512568/	The behavior change technique taxonomy (v1) of 93 hierarchically clustered techniques (Michie 2013)	primary	-	BCT taxonomy v1, canonical naming scheme for adherence techniques	js-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC12424610/	The farther, the better? The effect of attentional focus distance on motor performance: systematic review and meta-analysis (PeerJ 2025)	primary	-	Open meta-analysis of external-focus cueing distance, current entry to Wulf literature	open
https://eparmedx.com/	PAR-Q+: The International Standard for Pre-Participation Screening	primary	-	Public self-screening instrument the intake skill hands users	open
https://journals.lww.com/acsm-msse/fulltext/2026/04000/american_college_of_sports_medicine_position.21.aspx	ACSM Position Stand: Resistance Training Prescription... (publisher full text)	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Publisher full text of the 2026 stand	paywalled
https://pubmed.ncbi.nlm.nih.gov/19204579/	ACSM Position Stand: Progression Models in Resistance Training for Healthy Adults (2009)	cited	https://acsm.org/resistance-training-guidelines-update-2026/	The 2009 stand the 2026 update replaces	js-only
https://pubmed.ncbi.nlm.nih.gov/27433992/	Dose-response relationship between weekly resistance training volume and increases in muscle mass	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Ten-sets-per-week volume reference behind the guidelines	js-only
https://link.springer.com/article/10.1007/s40279-016-0543-8	Effects of Resistance Training Frequency on Measures of Muscle Hypertrophy: systematic review and meta-analysis	cited	https://www.nsca.com/education/articles/kinetic-select/determination-of-resistance-training-frequency/	Evidence behind the twice-weekly-per-muscle frequency recommendation	paywalled
https://pmc.ncbi.nlm.nih.gov/articles/PMC4961270/	Application of the Repetitions in Reserve-Based Rating of Perceived Exertion Scale for Resistance Training	cited	https://acsm.org/resistance-training-guidelines-update-2026/	RIR/RPE scale used for autoregulated load selection	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC11349676/	Give it a rest: systematic review with Bayesian meta-analysis on inter-set rest interval duration	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Rest-interval evidence for strength and hypertrophy	open
https://journals.lww.com/nsca-jscr/fulltext/2016/07000/longer_interset_rest_periods_enhance_muscle.3.aspx	Longer Interset Rest Periods Enhance Muscle Strength and Hypertrophy in Resistance-Trained Men	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Primary trial behind the longer-rest recommendation	paywalled
https://pubmed.ncbi.nlm.nih.gov/32077380/	What influence does resistance exercise order have on muscular strength gains and muscle hypertrophy?	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Exercise-order evidence for sequencing compound lifts first	js-only
https://pubmed.ncbi.nlm.nih.gov/41270301/	Evaluation of ChatGPT accuracy and reliability answering exercise questions for breast cancer survivors	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC10811574/	Clinical-population failure case for LLM exercise advice	js-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC12245906/	Accuracy of ChatGPT-3.5, ChatGPT-4o, Copilot, Gemini, Claude and Perplexity advising on lumbosacral conditions	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC10811574/	Cross-model accuracy comparison for musculoskeletal exercise advice	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC10948666/	Deloading Practices in Strength and Physique Sports: A Cross-sectional Survey	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Practitioner deload conventions, frequency and magnitude	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC10809978/	Gaining more from doing less? Effects of a one-week deload during supervised resistance training	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Experimental deload evidence for planned light weeks	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC11336295/	Revisiting the stretch-induced force deficit: systematic review with multilevel meta-analysis of acute effects	cited	https://cdn.uksca.org.uk/assets/pdfs/UkscaIqPdfs/ramp-warmups-more-than-simply-shortterm-preparation-636825390373342631.pdf	Why static stretching stays short and late in warm-ups	open
https://pubmed.ncbi.nlm.nih.gov/26473759/	Updating ACSM's Recommendations for Exercise Preparticipation Health Screening	cited	https://eparmedx.com/	The screening algorithm the intake skill runs	js-only
https://pmc.ncbi.nlm.nih.gov/articles/PMC4926293/	Pre-exercise screening: role of the primary care physician	cited	https://eparmedx.com/	Open commentary on screening thresholds and referral	open
https://pmc.ncbi.nlm.nih.gov/articles/PMC7515789/	Exercise-Induced Rhabdomyolysis: A Case Report and Literature Review	cited	https://eparmedx.com/	Basis for the rhabdomyolysis red-flag triage rule	open
https://pubmed.ncbi.nlm.nih.gov/23727696/	Exertional rhabdomyolysis in an acutely detrained athlete/exercise physiology professor	cited	https://eparmedx.com/	Detraining plus unaccustomed load as rhabdomyolysis risk	js-only
https://www.ncbi.nlm.nih.gov/books/NBK77075/	Effective techniques in healthy eating and physical activity interventions: a meta-regression (Michie 2009)	cited	https://pubmed.ncbi.nlm.nih.gov/23512568/	Self-monitoring evidence; open DARE structured abstract	open
https://onlinelibrary.wiley.com/doi/abs/10.1002/ejsp.674	How are habits formed: Modelling habit formation in the real world (Lally 2010)	cited	https://pubmed.ncbi.nlm.nih.gov/23512568/	Habit-formation timeline of 18 to 254 days	paywalled
https://www.tandfonline.com/doi/abs/10.1080/10463283.2024.2334563	The when and how of planning: meta-analysis of implementation intentions in 642 tests	cited	https://pubmed.ncbi.nlm.nih.gov/23512568/	Implementation-intention effect sizes for adherence prompts	paywalled
https://pmc.ncbi.nlm.nih.gov/articles/PMC2930527/	Myonuclei acquired by overload exercise precede hypertrophy and are not lost on detraining	cited	https://acsm.org/resistance-training-guidelines-update-2026/	Mechanistic basis for faster regain after a layoff	open
https://odphp.health.gov/sites/default/files/2019-09/Physical_Activity_Guidelines_2nd_edition.pdf	Physical Activity Guidelines for Americans, 2nd edition	cited	https://acsm.org/resistance-training-guidelines-update-2026/	US federal baseline the ACSM stand aligns with	open
https://gwulf.faculty.unlv.edu/wp-content/uploads/2018/11/Wulf_AF_review_2013.pdf	Attentional focus and motor learning: a review of 15 years (Wulf 2013)	cited	https://pmc.ncbi.nlm.nih.gov/articles/PMC12424610/	Wulf's foundational external-focus review, author-hosted open copy	open
