verb	target	field	value
config-write	program/current	name	nSuns 5/3/1 LP (4-day)
config-write	program/current	origin	u/sunsun9m9 and the r/nSuns community
config-write	program/current	progression_unit	session
config-write	program/current	dose	sets
config-write	program/current	days	4
config-write	program/current	template_id	nsuns-lp
config-write	program/current	started_at	2026-09-01T09:00:00+00:00
config-write	program/current	body	{"format_version":1,"name":"nSuns 5/3/1 LP (4-day)","origin":"u/sunsun9m9 and the r/nSuns community","source":{"url":"https://liftvault.com/programs/powerlifting/n-suns-lifting-spreadsheets/","method_url":"https://www.strongrfastr.com/workout_routines/73093-nsuns_lp_5day","note":"Structure only: which lifts, set count, when the training max moves. Written in our own words from the cited pages, no text or numbers table reproduced. A training method is not copyrightable expression (17 U.S.C. 102(b), research/16 'The licence rule')."},"progression_unit":"session","dose":"sets","days":4,"notes":"Each day has a 9-set main lift and a 4-set second lift; both run every session, not on a repeating stage index, so `stages` is unused. Each T1 set carries `load_pct`, its fraction of `training_max` (90% of a tested 1RM per `start`): a rising triple (65/75/85%), a plateau triple (85/90/95%), then a back-off triple (65/75/85%) with the last set AMRAP. `advance_when` also has one AMRAP-reps tier, not the source's three tiers (small, medium, large TM jump by reps beaten); this file uses the middle tier's rep target and reports the finer-grained jump as unrepresentable, same class of gap as the format doc's HYPOTHESIS list.","rotation":[{"id":"BENCH","label":"Bench day (bench T1, overhead press T2)","blocks":[{"label":"T1","sets":1,"sequence":[{"exercise":"Barbell Bench Press - Medium Grip","reps":8,"load_pct":0.65},{"exercise":"Barbell Bench Press - Medium Grip","reps":6,"load_pct":0.75},{"exercise":"Barbell Bench Press - Medium Grip","reps":4,"load_pct":0.85},{"exercise":"Barbell Bench Press - Medium Grip","reps":3,"load_pct":0.85},{"exercise":"Barbell Bench Press - Medium Grip","reps":3,"load_pct":0.9},{"exercise":"Barbell Bench Press - Medium Grip","reps":3,"load_pct":0.95},{"exercise":"Barbell Bench Press - Medium Grip","reps":5,"load_pct":0.65},{"exercise":"Barbell Bench Press - Medium Grip","reps":5,"load_pct":0.75},{"exercise":"Barbell Bench Press - Medium Grip","reps":5,"load_pct":0.85}],"amrap_last":true,"start":{"kind":"retest_pct","test":"1rm","pct":0.9},"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":3},"on_miss":"hold"}},{"label":"T2","exercise":"Standing Military Press","sets":4,"reps":6,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"hold"}}]},{"id":"SQUAT","label":"Squat day (squat T1, deadlift T2)","blocks":[{"label":"T1","sets":1,"sequence":[{"exercise":"Barbell Squat","reps":8,"load_pct":0.65},{"exercise":"Barbell Squat","reps":6,"load_pct":0.75},{"exercise":"Barbell Squat","reps":4,"load_pct":0.85},{"exercise":"Barbell Squat","reps":3,"load_pct":0.85},{"exercise":"Barbell Squat","reps":3,"load_pct":0.9},{"exercise":"Barbell Squat","reps":3,"load_pct":0.95},{"exercise":"Barbell Squat","reps":5,"load_pct":0.65},{"exercise":"Barbell Squat","reps":5,"load_pct":0.75},{"exercise":"Barbell Squat","reps":5,"load_pct":0.85}],"amrap_last":true,"start":{"kind":"retest_pct","test":"1rm","pct":0.9},"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":3},"on_miss":"hold"}},{"label":"T2","exercise":"Barbell Deadlift","sets":4,"reps":6,"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"hold"}}]},{"id":"OHP","label":"Overhead press day (overhead press T1, bench T2)","blocks":[{"label":"T1","sets":1,"sequence":[{"exercise":"Standing Military Press","reps":8,"load_pct":0.65},{"exercise":"Standing Military Press","reps":6,"load_pct":0.75},{"exercise":"Standing Military Press","reps":4,"load_pct":0.85},{"exercise":"Standing Military Press","reps":3,"load_pct":0.85},{"exercise":"Standing Military Press","reps":3,"load_pct":0.9},{"exercise":"Standing Military Press","reps":3,"load_pct":0.95},{"exercise":"Standing Military Press","reps":5,"load_pct":0.65},{"exercise":"Standing Military Press","reps":5,"load_pct":0.75},{"exercise":"Standing Military Press","reps":5,"load_pct":0.85}],"amrap_last":true,"start":{"kind":"retest_pct","test":"1rm","pct":0.9},"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":3},"on_miss":"hold"}},{"label":"T2","exercise":"Barbell Bench Press - Medium Grip","sets":4,"reps":6,"progression":{"axis":"weight","increment":5,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"hold"}}]},{"id":"DEADLIFT","label":"Deadlift day (deadlift T1, squat T2)","blocks":[{"label":"T1","sets":1,"sequence":[{"exercise":"Barbell Deadlift","reps":8,"load_pct":0.65},{"exercise":"Barbell Deadlift","reps":6,"load_pct":0.75},{"exercise":"Barbell Deadlift","reps":4,"load_pct":0.85},{"exercise":"Barbell Deadlift","reps":3,"load_pct":0.85},{"exercise":"Barbell Deadlift","reps":3,"load_pct":0.9},{"exercise":"Barbell Deadlift","reps":3,"load_pct":0.95},{"exercise":"Barbell Deadlift","reps":5,"load_pct":0.65},{"exercise":"Barbell Deadlift","reps":5,"load_pct":0.75},{"exercise":"Barbell Deadlift","reps":5,"load_pct":0.85}],"amrap_last":true,"start":{"kind":"retest_pct","test":"1rm","pct":0.9},"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"amrap_at_least","reps":3},"on_miss":"hold"}},{"label":"T2","exercise":"Barbell Squat","sets":4,"reps":6,"progression":{"axis":"weight","increment":10,"increment_unit":"lb","advance_when":{"kind":"all_prescribed_reps"},"on_miss":"hold"}}]}]}
config-write	agent/progression-state	progression	{"Barbell Bench Press - Medium Grip": {"next_target": "205 lb", "training_max": 225.0}, "Barbell Deadlift": {"next_target": "345 lb", "training_max": 385.0}, "Barbell Squat": {"next_target": "285 lb", "training_max": 315.0}, "Standing Military Press": {"next_target": "120 lb", "training_max": 135.0}}
say	program-design	msg-1	"Picked nSuns 5/3/1 LP (4-day): nSuns is a 4+ day training-max wave built for an intermediate or more advanced lifter with a barbell, more volume than GZCLP asks for. T1 Barbell Bench Press - Medium Grip starts at 205 lb (from 225x5, e1RM 228 lb after form allowance). T1 Barbell Squat starts at 285 lb (from 315x5, e1RM 319 lb after form allowance). T1 Standing Military Press starts at 120 lb (from 135x5, e1RM 137 lb after form allowance). T1 Barbell Deadlift starts at 345 lb (from 405x3, e1RM 386 lb after form allowance)."
