verb	target	field	value
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Squat (Barbell) set 1, 185 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2a7b6b000ddc1e5b
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sessions	Status	halted
config-write	config/limits	entries	[{"area": "knee", "status": "open", "opened_at": "2026-09-01"}]
config-write	config/limits	progression	manual
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-02T09:00:00+00:00
row-create	Sessions	Date	2026-09-03
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-03T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-03T09:00:00+00:00
row-create	Sessions	Status	halted
config-write	config/limits	entries	[{"area": "knee", "status": "open", "opened_at": "2026-09-04"}]
row-create	Sessions	Date	2026-09-05
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-05T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-05T09:00:00+00:00
row-create	Sessions	Date	2026-09-06
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-06T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-06T09:00:00+00:00
row-create	Sessions	Date	2026-09-07
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-07T09:00:00+00:00
row-create	Sessions	week_index	37
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-07T09:00:00+00:00
row-create	Sessions	Date	2026-09-08
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-08T09:00:00+00:00
row-create	Sessions	week_index	37
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-08T09:00:00+00:00
row-create	Sessions	Date	2026-09-09
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-09T09:00:00+00:00
row-create	Sessions	week_index	37
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-09T09:00:00+00:00
row-create	Sessions	Date	2026-09-10
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-10T09:00:00+00:00
row-create	Sessions	week_index	37
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-10T09:00:00+00:00
row-create	Sessions	Date	2026-09-11
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-11T09:00:00+00:00
row-create	Sessions	week_index	37
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-11T09:00:00+00:00
row-create	Sessions	Date	2026-09-12
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-12T09:00:00+00:00
row-create	Sessions	week_index	37
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-12T09:00:00+00:00
row-create	Sessions	Date	2026-09-13
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-13T09:00:00+00:00
row-create	Sessions	week_index	37
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-13T09:00:00+00:00
row-create	Sessions	Date	2026-09-14
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-14T09:00:00+00:00
row-create	Sessions	week_index	38
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-14T09:00:00+00:00
row-create	Sessions	Date	2026-09-15
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-15T09:00:00+00:00
row-create	Sessions	week_index	38
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-15T09:00:00+00:00
row-create	Sessions	Date	2026-09-16
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-16T09:00:00+00:00
row-create	Sessions	week_index	38
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-16T09:00:00+00:00
row-create	Sessions	Date	2026-09-17
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-17T09:00:00+00:00
row-create	Sessions	week_index	38
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-17T09:00:00+00:00
config-read	config/preferences	*	0
config-read	config/limits	*	2
config-read	config/athlete	*	0
config-read	program/current	*	0
row-query	Sets	*	1
row-query	Sessions	*	15
row-query	Sessions	Status=open	0
config-write	config/limits	clearance	cleared
config-write	config/limits	parq_date	2026-09-17
row-create	Sessions	Date	2026-09-18
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-18T09:00:00+00:00
row-create	Sessions	week_index	38
row-create	Sets	Set	Squat (Barbell) set 1, 185 lb x 5
row-create	Sets	Session	sessions-16
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-18T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	e5b2f70f7a5c98ce
row-create	Sets	source_message_id	msg-43
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sessions	Status	closed
row-create	Sessions	End time	2026-09-18T09:00:00+00:00
config-read	config/preferences	*	0
config-read	config/limits	*	4
config-read	config/athlete	*	0
config-read	program/current	*	0
row-query	Sets	*	2
row-query	Sessions	*	16
row-query	Sessions	Status=open	0
config-write	config/limits	parq_date	2026-09-18
config-write	config/limits	progression	auto
say	session-runner	msg-1	"Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.\nReadiness 1-5? (skip if you like)"
say	pain-triage	msg-2	"Stopping here. That's a stop-level signal (knee). See a physician or physiotherapist before that movement again. I can still help with everything else on the plan."
say	session-runner	msg-3	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-4	"Session closed. Nice work today.\n2026-09-01's session is still open. Keep logging to finish it, or say \"advance\" to start today fresh."
say	session-runner	msg-5	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-6	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-7	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	pain-triage	msg-8	"Stopping here. That's a stop-level signal (knee). See a physician or physiotherapist before that movement again. I can still help with everything else on the plan."
say	session-runner	msg-9	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-10	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-11	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-12	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-13	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-14	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-15	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-16	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-17	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-18	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-19	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-20	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-21	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-22	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-23	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-24	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-25	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-26	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-27	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-28	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-29	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-30	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-31	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
say	session-runner	msg-32	"Session closed. Nice work today.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-33	"Session is halted (Status: halted) until you acknowledge the hand-off. No sets logged until then."
