verb	target	field	value
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Squat (Barbell) set 1, 185 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|1|0
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.
row-create	Sets	Set	Note: 0x0
row-create	Sets	Session	sessions-1
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Notes	0x0
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|msg-2|0|0
row-create	Sets	source_message_id	msg-2
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Noted.
row-create	Sets	Set	Squat (Barbell) set 2, 185 lb x 30
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	30
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|2|0
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Squat (Barbell) set 3, 185 lb x 30
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	3
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	30
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|3|0
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Squat (Barbell) set 4, 185 lb x 30
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	4
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	30
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|4|0
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Squat (Barbell) set 5, 185 lb x 30
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	5
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	30
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|5|0
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Squat (Barbell) set 6, 185 lb x 30
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	6
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	30
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|6|0
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Squat (Barbell) set 7, 185 lb x 30
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	7
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	30
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|7|0
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Squat (Barbell) set 8, 185 lb x 30
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Squat (Barbell)
row-create	Sets	Set index	8
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	185
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	30
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|Squat (Barbell)|8|0
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Squat (Barbell) set 2-8, 185 lb x 30. Set 9 at 185 lb.
row-create	Sets	Set	a x set 1, 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	a x
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	2026-09-01T09:00:00+00:00|UTC|a x|1|0
row-create	Sets	source_message_id	msg-5
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	First time logging a x. a x set 1, 5. Set 2.
say	session-runner	msg-1	"Squat (Barbell) set 1, 185 lb x 5. Set 2 at 185 lb.\nReadiness 1-5? (skip if you like)"
say	session-runner	msg-2	"Noted."
say	session-runner	msg-3	"Squat (Barbell) set 2-8, 185 lb x 30. Set 9 at 185 lb."
say	session-runner	msg-4	"185 is outside the plausible reps range (1 to 100). Nothing written. Retype the set."
say	session-runner	msg-5	"First time logging a x. a x set 1, 5. Set 2."
